"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude","id_grid"
7106,"JBRJ","RB","RB00842364","Paepalanthus_comans",NA,"M. L. O. Trovó",-18.375,-43.549167,708
7107,"JBRJ","RB","RB00842392","Paepalanthus_planifolius",NA,"M. L. O. Trovó",-18.4675,-43.492222,708
7108,"JBRJ","RB","RB00842419","Paepalanthus_macrocephalus",NA,"M. L. O. Trovó",-18.470556,-43.489722,708
7109,"JBRJ","RB","RB00842414","Paepalanthus_planifolius",NA,"M. L. O. Trovó",-18.470556,-43.489722,708
7110,"JBRJ","RB","RB00842324","Paepalanthus_chrysolepis",NA,"C. O. Andrino",-18.2825,-43.763333,668
7111,"JBRJ","RB","RB00842310","Paepalanthus_planifolius",NA,"M. L. O. Trovó",-18.284167,-43.762778,708
7112,"JBRJ","RB","RB00842308","Paepalanthus_chrysolepis",NA,"M. L. O. Trovó",-18.284167,-43.762778,708
7113,"JBRJ","RB","RB00842329","Paepalanthus_chrysolepis",NA,"M. L. O. Trovó",-18.2825,-43.763333,668
7114,"JBRJ","RB","RB00842298","Paepalanthus_comans",NA,"M. L. O. Trovó",-18.284167,-43.762778,708
7115,"JBRJ","RB","RB00842250","Paepalanthus_argenteus",NA,"M. L. O. Trovó",-18.449167,-43.488333,708
7124,"JBRJ","RB","RB00826405","Paepalanthus_planifolius",NA,"M. L. O. Trovó",-19.259167,-43.531667,748
7125,"JBRJ","RB","RB00826328","Paepalanthus_macropodus",NA,"M. L. O. Trovó",-19.247222,-43.518889,748
7126,"JBRJ","RB","RB00826371","Paepalanthus_planifolius_var._globulifer",NA,"M. L. O. Trovó",-19.247222,-43.518889,748
7129,"JBRJ","RB","RB00826204","Paepalanthus_paulinus",NA,"M. L. O. Trovó",-19.290555,-43.553333,748
7130,"JBRJ","RB","RB00826213","Paepalanthus_nigrescens",NA,"M. L. O. Trovó",-19.290555,-43.553333,748
7131,"JBRJ","RB","RB00826215","Paepalanthus_chlorocephalus",NA,"M. L. O. Trovó",-19.290555,-43.553333,748
7132,"JBRJ","RB","RB00826170","Paepalanthus_nigrescens",NA,"M. L. O. Trovó",-19.278333,-43.590555,748
7184,"JBRJ","RB","RB00761548","Paepalanthus_silveirae",NA,"M. L. O. Trovó",-21.065,-44.11,867
7185,"JBRJ","RB","RB00761549","Paepalanthus_chiquitensis",NA,"M. L. O. Trovó",-13.929444,-47.430278,382
7195,"JBRJ","RB","RB00754294","Paepalanthus_gyrotrichus",NA,"M. T. C. Watanabe",-18.276389,-43.535555,668
7196,"JBRJ","RB","RB00754289","Paepalanthus_scirpeus",NA,"M. T. C. Watanabe",-18.943889,-43.681667,748
7206,"JBRJ","RB","RB00742076","Paepalanthus_obtusifolius",NA,"M. L. O. Trovó",-13.569444,-41.83,391
7215,"JBRJ","RB","RB00730443","Paepalanthus_modestus",NA,"M. L. O. Trovó",-13.933611,-47.439167,382
