"id","scientific.name","accepted.name","family","taxon.rank","taxon.status","search.str","threat.status","notes","original.search","life.form","habitat","vegetation.type","domain"
18216,"Calliandra parvifolia (Hook. & Arn.) Speg.",NA,"Fabaceae","species","accepted","Calliandra parvifolia",NA,"replaced synonym","Calliandra myriophylla","Arbusto|Subarbusto","Terrícola","Campinarana|Campo rupestre|Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)","Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa"
18214,"Calliandra nebulosa Barneby",NA,"Fabaceae","species","accepted","Calliandra nebulosa",NA,"","Calliandra nebulosa","Arbusto","Terrícola","Campo Limpo|Campo rupestre|Cerrado (lato sensu)","Caatinga"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra oroboensis",NA,NA,NA,NA
126262,"Calliandra paganuccii E.R. Souza",NA,"Fabaceae","species","accepted","Calliandra paganuccii",NA,"","Calliandra paganuccii","Subarbusto","Terrícola","Campo rupestre","Caatinga"
82719,"Calliandra parviflora Benth.",NA,"Fabaceae","species","accepted","Calliandra parviflora",NA,"","Calliandra parviflora","Arbusto","Terrícola","Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual","Amazônia|Caatinga|Cerrado"
18216,"Calliandra parvifolia (Hook. & Arn.) Speg.",NA,"Fabaceae","species","accepted","Calliandra parvifolia",NA,"","Calliandra parvifolia","Arbusto|Subarbusto","Terrícola","Campinarana|Campo rupestre|Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)","Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa"
18217,"Calliandra paterna Barneby",NA,"Fabaceae","species","accepted","Calliandra paterna",NA,"","Calliandra paterna","Arbusto","Terrícola","Campo rupestre","Caatinga"
18216,"Calliandra parvifolia (Hook. & Arn.) Speg.",NA,"Fabaceae","species","accepted","Calliandra parvifolia",NA,"replaced synonym","Calliandra peckoltii","Arbusto|Subarbusto","Terrícola","Campinarana|Campo rupestre|Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)","Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa"
18218,"Calliandra pilgerana Harms",NA,"Fabaceae","species","accepted","Calliandra pilgerana",NA,"","Calliandra pilgerana","Arbusto","Terrícola","Campo rupestre","Caatinga"
18218,"Calliandra pilgerana Harms",NA,"Fabaceae","species","accepted","Calliandra pilgerana",NA,"replaced synonym","Calliandra pilgeriana","Arbusto","Terrícola","Campo rupestre","Caatinga"
23212,"Zapoteca portoricensis Jacq.",NA,"Fabaceae","species","accepted","Zapoteca portoricensis",NA,"replaced synonym","Calliandra portoricensis",NA,NA,NA,NA
78850,"Calliandra pubens Renvoize",NA,"Fabaceae","species","accepted","Calliandra pubens",NA,"","Calliandra pubens","Arbusto","Terrícola","Cerrado (lato sensu)|Floresta Ciliar ou Galeria","Caatinga"
18220,"Calliandra renvoizeana Barneby",NA,"Fabaceae","species","accepted","Calliandra renvoizeana",NA,"","Calliandra renvoizeana","Subarbusto","Terrícola","Campo rupestre","Caatinga"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra riparia",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra robusta",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra rupicola",NA,NA,NA,NA
30973,"Calliandra santosiana Glaz. ex Barneby",NA,"Fabaceae","species","accepted","Calliandra santosiana","DD","","Calliandra santosiana","Arbusto","Terrícola","Campo rupestre","Cerrado"
82710,"Calliandra brevipes Benth.",NA,"Fabaceae","species","accepted","Calliandra brevipes",NA,"replaced synonym","Calliandra selloi","Arbusto","Terrícola","Caatinga (stricto sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista","Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa"
18221,"Calliandra semisepulta Barneby",NA,"Fabaceae","species","accepted","Calliandra semisepulta","VU","","Calliandra semisepulta","Subarbusto","Terrícola","Caatinga (stricto sensu)|Campo rupestre|Cerrado (lato sensu)","Caatinga|Cerrado"
18205,"Calliandra lanata Benth.",NA,"Fabaceae","species","accepted","Calliandra lanata",NA,"replaced synonym","Calliandra sericea","Arbusto","Terrícola","Campo rupestre","Caatinga"
82724,"Calliandra sessilis Benth.",NA,"Fabaceae","species","accepted","Calliandra sessilis",NA,"","Calliandra sessilis","Arbusto|Subarbusto","Terrícola","Caatinga (stricto sensu)|Campinarana|Campo Limpo|Campo rupestre|Carrasco|Cerrado (lato sensu)","Amazônia|Caatinga|Cerrado"
30976,"Calliandra silvicola Taub.",NA,"Fabaceae","species","accepted","Calliandra silvicola",NA,"","Calliandra silvicola","Arbusto","Terrícola","Floresta Ciliar ou Galeria","Cerrado"
18223,"Calliandra sincorana Harms",NA,"Fabaceae","species","accepted","Calliandra sincorana",NA,"","Calliandra sincorana","Arbusto","Terrícola","Campo rupestre","Caatinga"
22845,"Calliandra Benth.",NA,"Fabaceae","genus","accepted","Calliandra sp.",NA,"","Calliandra sp.",NA,NA,NA,NA
78851,"Calliandra spinosa Ducke",NA,"Fabaceae","species","accepted","Calliandra spinosa",NA,"","Calliandra spinosa","Arbusto|Árvore","Terrícola","Caatinga (stricto sensu)","Caatinga"
18225,"Calliandra squarrosa Benth.",NA,"Fabaceae","species","accepted","Calliandra squarrosa",NA,"","Calliandra squarrosa","Arbusto","Terrícola","Caatinga (stricto sensu)|Campo Limpo|Floresta Estacional Semidecidual","Caatinga"
30979,"Calliandra staminea (Thunb.) Barneby",NA,"Fabaceae","species","accepted","Calliandra staminea",NA,"","Calliandra staminea","Arbusto","Terrícola","Floresta Ciliar ou Galeria","Cerrado"
18226,"Calliandra stelligera Barneby",NA,"Fabaceae","species","accepted","Calliandra stelligera",NA,"","Calliandra stelligera","Subarbusto","Terrícola","Campo rupestre","Caatinga"
18227,"Calliandra subspicata Benth.",NA,"Fabaceae","species","accepted","Calliandra subspicata",NA,"","Calliandra subspicata","Arbusto","Terrícola","Caatinga (stricto sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)","Caatinga|Mata Atlântica"
22847,"Calliandra surinamensis Benth.",NA,"Fabaceae","species","accepted","Calliandra surinamensis",NA,"","Calliandra surinamensis","Arbusto","Terrícola","Floresta Ciliar ou Galeria|Floresta de Igapó|Floresta de Terra Firme|Savana Amazônica","Amazônia"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra tergemina",NA,NA,NA,NA
22848,"Calliandra trinervia Benth.",NA,"Fabaceae","species","accepted","Calliandra trinervia",NA,"","Calliandra trinervia",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra trinervia trinervia",NA,NA,NA,NA
82729,"Calliandra tsugoides R.S.Cowan",NA,"Fabaceae","species","accepted","Calliandra tsugoides",NA,"","Calliandra tsugoides","Arbusto","Terrícola","Savana Amazônica","Amazônia"
30936,"Calliandra dysantha var. turbinata (Benth.) Barneby",NA,"Fabaceae","variety","accepted","Calliandra dysantha var. turbinata",NA,"replaced synonym","Calliandra turbinata","Arbusto","Terrícola","Cerrado (lato sensu)","Cerrado"
100920,"Calliandra tweedii Benth.",NA,"Fabaceae","species","accepted","Calliandra tweedii",NA,"replaced synonym","Calliandra tweediei","Arbusto|Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga","Cerrado|Mata Atlântica"
100920,"Calliandra tweedii Benth.",NA,"Fabaceae","species","accepted","Calliandra tweedii",NA,"","Calliandra tweedii","Arbusto|Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga","Cerrado|Mata Atlântica"
18228,"Calliandra ulei Harms",NA,"Fabaceae","species","accepted","Calliandra ulei",NA,"","Calliandra ulei","Arbusto","Terrícola","Caatinga (stricto sensu)","Caatinga"
82730,"Calliandra umbellifera Benth.",NA,"Fabaceae","species","accepted","Calliandra umbellifera",NA,"","Calliandra umbellifera","Arbusto","Terrícola","Carrasco|Cerrado (lato sensu)","Caatinga|Cerrado"
82731,"Calliandra virgata Benth.",NA,"Fabaceae","species","accepted","Calliandra virgata",NA,"","Calliandra virgata","Subarbusto","Terrícola","Cerrado (lato sensu)","Cerrado"
18230,"Calliandra viscidula Benth.",NA,"Fabaceae","species","accepted","Calliandra viscidula",NA,"","Calliandra viscidula","Arbusto","Terrícola","Campo rupestre","Caatinga"
