"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude"
1573,"NY","NY","00571927","Comanthera giuliettiae","bahiensis","A. M. Giulietti",-13.23,-41.38
1578,"NY","NY","01198542","Comanthera giuliettiae",NA,"L. Echternacht",-11.5536317602945,-41.1561252262513
1584,"NY","NY","00898412","Comanthera elegantula",NA,"L. Echternacht",-19.0409924221712,-43.4248788829597
1590,"NY","NY","00103619","Comanthera giuliettiae","bahiensis","H. N. Moldenke",-11.5539317677047,-41.1558252067773
1596,"NY","NY","00571730","Comanthera lanosa",NA,"L. Echternacht",-13.23,-41.83
1601,"NY","NY","00886608","Comanthera giuliettiae",NA,"L. Echternacht",-10.37,-41.32
1608,"NY","NY","00572012","Comanthera paepalophylla",NA,"L. Echternacht",-13.3,-41.87
1609,"NY","NY","00898446","Comanthera xeranthemoides",NA,"L. Echternacht",-17.8854510069451,-51.7149279430164
1610,"NY","NY","00898341","Comanthera nitida",NA,"L. Echternacht",-19.0409924221712,-43.4248788829597
1614,"NY","NY","00571921","Comanthera bisulcata",NA,"L. Echternacht",-13.1,-41.92
1622,"NY","NY","00898524","Comanthera nitida",NA,"L. Echternacht",-18.7722,-43.7389
1625,"NY","NY","00684938","Comanthera curralensis",NA,"L. R. Parra",-10.35,-41.22
1626,"NY","NY","00571935","Comanthera giuliettiae",NA,"L. Echternacht",-13.3,-41.87
1633,"NY","NY","00898407","Comanthera aurifibrata",NA,"L. Echternacht",-16.5631441886376,-42.889540899897
1639,"NY","NY","00571728","Comanthera giuliettiae",NA,"L. Echternacht",-13.37,-41.75
1645,"NY","NY","00958092","Comanthera bisulcata",NA,"L. Echternacht",-17.0684541688631,-43.309069193446
1646,"NY","NY","00898552","Comanthera nitida",NA,"L. Echternacht",-18.82,-43.38
1659,"NY","NY","00684939","Comanthera giuliettiae",NA,"L. Echternacht",-10.35,-41.22
1660,"NY","NY","1747889","Comanthera nitida",NA,"D. C. Zappi",-18.9478,-43.7567
1661,"NY","NY","00898340","Comanthera nitida",NA,"L. Echternacht",-19.0409924221712,-43.4248788829597
1662,"NY","NY","00538324","Comanthera giuliettiae",NA,"L. Echternacht",-13.0092666818479,-41.3706393848679
1668,"NY","NY","00898393","Comanthera aciphylla",NA,"L. R. Parra",-18.2531772779915,-43.6004898201051
1675,"NY","NY","00898355","Comanthera cipoensis",NA,"L. Echternacht",-18.4581810723501,-43.7407994499746
1680,"NY","NY","00898411","Comanthera nivea",NA,"L. Echternacht",-20.2916151948885,-43.5082859302814
1684,"NY","NY","00538358","Comanthera aurifibrata",NA,"L. Echternacht",-16.5631441886376,-42.889540899897
1686,"NY","NY","00538327","Comanthera giuliettiae",NA,"L. Echternacht",-11.45,-41.12
1690,"NY","NY","00898452","Comanthera xeranthemoides",NA,"L. Echternacht",-11.7,-55.7
1694,"NY","NY","00504676","Comanthera giuliettiae",NA,"L. Echternacht",-13.02,-41.4
1695,"NY","NY","00898549","Comanthera nivea",NA,"L. Echternacht",-21.7222,-44.9853
1701,"NY","NY","00898462","Comanthera xeranthemoides",NA,"L. Echternacht",-12.9,-51.87
1703,"NY","NY","00898542","Comanthera nivea",NA,"L. Echternacht",-21.1144288037661,-44.1783325966569
1720,"NY","NY","00898274","Comanthera bisulcata",NA,"L. Echternacht",-18.4495809958804,-43.6557937420119
1721,"NY","NY","00898437","Comanthera nivea",NA,"L. Echternacht",-20.358,-43.492
1746,"NY","NY","00571938","Comanthera paepalophylla",NA,"L. Echternacht",-13.83,-42.37
1765,"NY","NY","00898532","Comanthera suberosa",NA,"L. Echternacht",-18.1422,-43.0594
