taxa,suggested,corrected,obs
Syngonanthus elegans var. canescens,Syngonanthus elegans var. canescens,Comanthera elegantula,
Syngonanthus elegantulus glaziovii,Syngonanthus elegantulus var. glaziovii,Comanthera elegantula,
Syngonanthus elegantulus,Syngonanthus elegantulus,Comanthera elegantula,
Syngonanthus eriopus,Syngonanthus eriopus,Comanthera aciphylla,
Syngonanthus eriopus var. appressa,Syngonanthus eriopus var. appressus,Comanthera aciphylla,
Syngonanthus euschemus,Syngonanthus euschemus,Comanthera euschemus,
Syngonanthus fenestratus,Syngonanthus fenestratus,Syngonanthus fenestratus,
Syngonanthus fertilis fuscus,Syngonanthus fertilis var. fuscus,Syngonanthus humboldtii,
Syngonanthus fertilis hirtellus,Syngonanthus fertilis var. hirtellus,Syngonanthus humboldtii,
Syngonanthus fertilis,Syngonanthus fertilis,Syngonanthus humboldtii,
Syngonanthus filipes,Syngonanthus filipes,Syngonanthus filipes,
Syngonanthus fischerianus,Syngonanthus fischerianus,Syngonanthus fischerianus,
Syngonanthus fisherianus,Syngonanthus fischerianus,Syngonanthus fischerianus,
Syngonanthus flaviceps,Syngonanthus flaviceps,Syngonanthus flaviceps,
Syngonanthus flavidulus,Syngonanthus flaviceps,Syngonanthus flavidulus,
Syngonanthus flaviecps,Syngonanthus flaviceps,Syngonanthus flaviceps,
Syngonanthus floccosus,Syngonanthus floccosus,Comanthera floccosa,
Syngonanthus fuscescens,Syngonanthus fuscescens,Syngonanthus fuscescens,
Syngonanthus giuliettiae,NA,Comanthera giuliettiae,
Syngonanthus glandulifer,Syngonanthus glandulifer,Syngonanthus glandulifer,
Syngonanthus glandulosus epapillosus,Syngonanthus glandulosus var. epapillosus,Syngonanthus caulescens,
Syngonanthus glandulosus,Syngonanthus glandulosus,Syngonanthus caulesces,
Syngonanthus goyazensis hatschbachii,Syngonanthus goyazensis var. hatschbachii,Syngonanthus goyazensis,
Syngonanthus goyazensis,Syngonanthus goyazensis,Syngonanthus goyazensis ,
Syngonanthus gracilis amazonicus,Syngonanthus gracilis var. amazonicus,Syngonanthus gracilis ,
Syngonanthus gracilis amazoniens,Syngonanthus gracilis var. amazonicus,Syngonanthus gracilis ,
Syngonanthus gracilis aurens,Syngonanthus gracilis var. aureus,Syngonanthus gracilis ,
Syngonanthus gracilis aureus,Syngonanthus gracilis var. aureus,Syngonanthus gracilis ,
Syngonanthus gracilis glabriusculus,Syngonanthus gracilis var. glabriusculus,Syngonanthus gracilis ,
Syngonanthus gracilis hirtella,Syngonanthus gracilis var. hirtellus,Syngonanthus gracilis ,
Syngonanthus gracilis hirtellus,Syngonanthus gracilis var. hirtellus,Syngonanthus gracilis ,
Syngonanthus gracilis koernickeanus,Syngonanthus gracilis var. koernickeanus,Syngonanthus gracilis ,
Syngonanthus gracilis koernidseanus,Syngonanthus gracilis var. koernickeanus,Syngonanthus gracilis ,
Syngonanthus gracilis luetzelburgii,Syngonanthus gracilis var. luetzelburgii,Syngonanthus gracilis ,
Syngonanthus gracilis,Syngonanthus gracilis,Syngonanthus gracilis ,
Syngonanthus gracilis recurvifolius,Syngonanthus gracilis var. recurvifolius,Syngonanthus gracilis ,
Syngonanthus gracilis tenuissima,Syngonanthus gracilis var. tenuissimus,Syngonanthus gracilis ,
Syngonanthus gracilis tenuissimus,Syngonanthus gracilis var. tenuissimus,Syngonanthus gracilis ,
Syngonanthus gracilis var. aurea,Syngonanthus gracilis var. aureus,Syngonanthus gracilis ,
Syngonanthus gracilis var. glabriuscula,Syngonanthus gracilis var. glabriusculus,Syngonanthus gracilis ,
Syngonanthus gracilis var. hirtella,Syngonanthus gracilis var. hirtellus,Syngonanthus gracilis ,
Syngonanthus gracilis var. koernickeanus,Syngonanthus gracilis var. koernickeanus,Syngonanthus gracilis ,
Syngonanthus grao-mogolensis dentonsus,Syngonanthus grao-mogolensis var. detonsus,Syngonanthus grao-mogolensis,
Syngonanthus grao-mogolensis detonsus,Syngonanthus grao-mogolensis var. detonsus,Syngonanthus grao-mogolensis,
Syngonanthus grao-mogolensis,Syngonanthus grao-mogolensis,Syngonanthus grao-mogolensis,
Syngonanthus habrophyus,Syngonanthus habrophyus,Comanthera nivea,
Syngonanthus harleyii,Syngonanthus harleyi,Comanthera harleyi,
