taxa,suggested,corrected,obs
Syngonanthus nitens viviparus,Syngonanthus nitens var. viviparus,Syngonanthus nitens,
Syngonanthus niteus,Syngonanthus nitens,Syngonanthus nitens,
Syngonanthus nitidus,Syngonanthus nitidus,Comanthera nitida,
Syngonanthus niveo-aureus,Syngonanthus niveo-aureus,Comanthera nitida,
Syngonanthus niveus,Syngonanthus niveus,Comanthera nivea,
Syngonanthus niveus rosulatus,Syngonanthus niveus var. rosulatus,Comanthera nivea,
Syngonanthus niveus strigosus,Syngonanthus niveus var. strigosus,Comanthera paepalophylla subsp. strigosa,
Syngonanthus oblongus aequinoctialis,Syngonanthus oblongus var. aequinoctialis,Syngonanthus oblongus var. aequinoctialis,
Syngonanthus oblongus,Syngonanthus oblongus,Syngonanthus oblongus,
Syngonanthus oblongus var. aequinoctialis,Syngonanthus oblongus var. aequinoctialis,Syngonanthus oblongus var. aequinoctialis,
Syngonanthus paepalophyllus,Syngonanthus paepalophyllus,Comanthera paepalophylla,
Syngonanthus paepalophyllus teretifolius,NA,Syngonanthus paepalophyllus var. teretifolius,not published
Syngonanthus paraensis,Syngonanthus paraensis,Syngonanthus anomalus,
Syngonanthus philconii,Syngonanthus philcoxii,Syngonanthus philcoxii,
Syngonanthus philcoxii,Syngonanthus philcoxii,Syngonanthus philcoxii,
Syngonanthus philodicoides morii,Syngonanthus philodicoides var. morii,Syngonanthus gracilis ,
Syngonanthus philodicoides,Syngonanthus philodicoides,Syngonanthus philodicoides,
Syngonanthus planus,Syngonanthus planus,Syngonanthus planus,
Syngonanthus prolifer,Syngonanthus prolifer,Comanthera nivea,
Syngonanthus prolites,Syngonanthus prolifer,Comanthera nivea,
Syngonanthus pulchellus,Syngonanthus pulchellus,Syngonanthus pulchellus,
Syngonanthus pulcher,Syngonanthus pulcher,Syngonanthus pulcher,
Syngonanthus pulvinellus,Syngonanthus pulvinellus,Syngonanthus pulvinellus,
Syngonanthus reclinatus,Syngonanthus reclinatus,Syngonanthus reclinatus,
Syngonanthus reflexus,Syngonanthus reflexus,Comanthera reflexa,
Syngonanthus restingensis,Syngonanthus xinguensis,Syngonanthus restingensis,unresolved
Syngonanthus retroflexus,Syngonanthus reflexus,Comanthera reflexa,
Syngonanthus rhizonema,Syngonanthus rhizonema,Syngonanthus rhizonema,
Syngonanthus rufipes,Syngonanthus rufipes,Comanthera cipoensis,
Syngonanthus saxicola,Syngonanthus saxicola,Syngonanthus saxicola,check further
Syngonanthus saxicola pilosus,NA,Syngonanthus saxicola var. pilosus,Paepalanthus saxicola var. pilosus?
Syngonanthus schwackei,Syngonanthus schwackei,Syngonanthus schwackei,
Syngonanthus sclerophyllus,Syngonanthus sclerophyllus,Syngonanthus sclerophyllus,
Syngonanthus setifolius,Syngonanthus setifolius,Syngonanthus setifolius,
Syngonanthus similis,Syngonanthus similis,Syngonanthus anthemidiflorus var. similis,
Syngonanthus simplex,Syngonanthus simplex,Syngonanthus simplex,
Syngonanthus sinuosus,Syngonanthus sinuosus,Syngonanthus sinuosus,
Syngonanthus sipoensis,Syngonanthus cipoensis,Comanthera cipoensis,
Syngonanthus sphaerocephalus,Syngonanthus microcephalus,Comanthera nivea,
Syngonanthus squarrosus,Syngonanthus squarrosus,Comanthera squarrosa,
Syngonanthus suberosus,Syngonanthus suberosus,Comanthera suberosa,
Syngonanthus syngonanthoides,Syngonanthus syngonanthoides,Syngonanthus syngonanthoides,
Syngonanthus tenuis bulbifer,Syngonanthus tenuis var. bulbifer,Syngonanthus tenuis var. bulbifer,
Syngonanthus tenuis,Syngonanthus tenuis,Syngonanthus tenuis,
Syngonanthus tenuis tenuis,Syngonanthus tenuipes,Syngonanthus tenuis,
Syngonanthus tenuis var. bulbifer,Syngonanthus tenuis var. bulbifer,Syngonanthus tenuis,
Syngonanthus ulei goyazensis,Syngonanthus ulei var. goyazensis,Comanthera kegeliana,
Syngonanthus ulei,Syngonanthus ulei,Comanthera kegeliana,
Syngonanthus umbellatus liebmannianus,Syngonanthus umbellatus var. liebmannianus,Syngonanthus umbellatus ,
Syngonanthus umbellatus,Syngonanthus umbellatus,Syngonanthus umbellatus ,
Syngonanthus umbellatus var. liebmannianus,Syngonanthus umbellatus var. liebmannianus,Syngonanthus umbellatus ,
Syngonanthus vaginatus,Syngonanthus marginatus,Syngonanthus vaginatus,no reference
Syngonanthus vaupesanus,Syngonanthus vaupesanus,Syngonanthus tenuis var. bulbifer,
Syngonanthus venustus,Syngonanthus venustus,Comanthera bisulcata,
Syngonanthus vernonioides,Syngonanthus vernonioides,Comanthera vernonioides,
Syngonanthus vernonioides var. melanolepis,Syngonanthus vernonioides var. melanolepis,Comanthera vernonioides var. melanolepis,
Syngonanthus vernonioides var. vernonioides,Syngonanthus vernonioides var. vernonioides,Comanthera vernonioides,
Syngonanthus verticillatus,Syngonanthus verticillatus,Syngonanthus verticillatus,
Syngonanthus vittatus,Syngonanthus vittatus,Syngonanthus vittatus,
Syngonanthus weddelii epapillosus,NA,Syngonanthus weddelii var. epapillosus,no reference
Syngonanthus weddellii gracilis,Syngonanthus weddellii var. gracilis,Paepalanthus rectifolia,
Syngonanthus weddellii,Syngonanthus weddellii,Syngonanthus weddellii,
Syngonanthus widgrenianus,Syngonanthus widgrenianus,Syngonanthus widgrenianus,
Syngonanthus widgrenianus puberifolius,Syngonanthus widgrenianus var. puberulifolius,Syngonanthus widgrenianus,
Syngonanthus williamsii,Syngonanthus williamsii,Syngonanthus williamsii,
Syngonanthus xeranthemoides confusus,Syngonanthus xeranthemoides var. confusus,Comanthera vernonioides var. confusa,
Syngonanthus xeranthemoides hirsutus,Syngonanthus xeranthemoides var. hirsutus,Comanthera vernonioides var. confusa,
Syngonanthus xeranthemoides,Syngonanthus xeranthemoides,Comanthera xeranthemoides,
Syngonanthus xeranthemoides strigillosus,Syngonanthus xeranthemoides var. strigillosus,Comanthera xeranthemoides var. strigillosa,
Syngonanthus xinguensis,Syngonanthus xinguensis,Syngonanthus xinguensis,
