"taxa","suggested"
"Syngonanthus comosus","Syngonanthus comosus"
"Syngonanthus compactus","Syngonanthus compactus"
"Syngonanthus costatus","Syngonanthus costatus"
"Syngonanthus crispus","Syngonanthus crispus"
"Syngonanthus crispus var. itacambirensis","Syngonanthus crispus var. itacambirensis"
"Syngonanthus curralensis harleyi","Syngonanthus curralensis var. harleyi"
"Syngonanthus curralensis","Syngonanthus curralensis"
"Syngonanthus cuyabensis","Syngonanthus cuyabensis"
"Syngonanthus davidsei","Syngonanthus davidsei"
"Syngonanthus dealbatus","Syngonanthus dealbatus"
"Syngonanthus dealbatus var. minor","Syngonanthus dealbatus var. minor"
"Syngonanthus decorus","Syngonanthus decorus"
"Syngonanthus densiflorus brevipes","Syngonanthus densiflorus var. brevipes"
"Syngonanthus densiflorus glabrescens","Syngonanthus densiflorus var. glabrescens"
"Syngonanthus densiflorus glabrifolius","Syngonanthus densiflorus var. glabrifolius"
"Syngonanthus densiflorus longifolius","Syngonanthus densiflorus var. longifolius"
"Syngonanthus densiflorus majus","Syngonanthus densiflorus"
"Syngonanthus densiflorus","Syngonanthus densiflorus"
"Syngonanthus densiflorus pilosior","Syngonanthus densifolius var. pilosior"
"Syngonanthus densifolius brachyphyllus","Syngonanthus densifolius var. brachyphyllus"
"Syngonanthus densifolius majus","Syngonanthus densifolius var. majus"
"Syngonanthus densifolius","Syngonanthus densifolius"
"Syngonanthus densifolius pilosior","Syngonanthus densifolius var. pilosior"
"Syngonanthus densus","Syngonanthus densus"
"Syngonanthus dichroanthus","Syngonanthus dichroanthus"
"Syngonanthus eburneus","Syngonanthus eburneus"
"Syngonanthus egleri pombosensis","Syngonanthus egleri var. pombosensis"
"Syngonanthus elegans","Syngonanthus elegans"
"Syngonanthus elegans var. canescens","Syngonanthus elegans var. canescens"
"Syngonanthus elegantulus glaziovii","Syngonanthus elegantulus var. glaziovii"
"Syngonanthus elegantulus","Syngonanthus elegantulus"
"Syngonanthus eriopus","Syngonanthus eriopus"
"Syngonanthus eriopus var. appressa","Syngonanthus eriopus var. appressus"
"Syngonanthus euschemus","Syngonanthus euschemus"
"Syngonanthus fenestratus","Syngonanthus fenestratus"
"Syngonanthus fertilis fuscus","Syngonanthus fertilis var. fuscus"
"Syngonanthus fertilis hirtellus","Syngonanthus fertilis var. hirtellus"
"Syngonanthus fertilis","Syngonanthus fertilis"
"Syngonanthus filipes","Syngonanthus filipes"
"Syngonanthus fischerianus","Syngonanthus fischerianus"
"Syngonanthus fisherianus","Syngonanthus fischerianus"
"Syngonanthus flaviceps","Syngonanthus flaviceps"
"Syngonanthus flavidulus","Syngonanthus flaviceps"
"Syngonanthus flaviecps","Syngonanthus flaviceps"
"Syngonanthus floccosus","Syngonanthus floccosus"
"Syngonanthus fuscescens","Syngonanthus fuscescens"
"Syngonanthus giuliettiae",NA
"Syngonanthus glandulifer","Syngonanthus glandulifer"
"Syngonanthus glandulosus epapillosus","Syngonanthus glandulosus var. epapillosus"
"Syngonanthus glandulosus","Syngonanthus glandulosus"
"Syngonanthus goyazensis hatschbachii","Syngonanthus goyazensis var. hatschbachii"
"Syngonanthus goyazensis","Syngonanthus goyazensis"
"Syngonanthus gracilis amazonicus","Syngonanthus gracilis var. amazonicus"
"Syngonanthus gracilis amazoniens","Syngonanthus gracilis var. amazonicus"
"Syngonanthus gracilis aurens","Syngonanthus gracilis var. aureus"
"Syngonanthus gracilis aureus","Syngonanthus gracilis var. aureus"
