id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,life.form,habitat,vegetation.type,domain,corrected.name
8080,Trimezia spathata (Klatt) Baker,NA,Iridaceae,species,accepted,Trimezia spathata,NA,,Trimezia spathata,Erva,Terrícola,Área Antrópica|Cerrado (lato sensu),Cerrado,Trimezia spathata
NA,NA,NA,NA,NA,NA,NA,NA,not found,Trimezia spathata sincorana,NA,NA,NA,NA,Trimezia sincorana
NA,NA,NA,NA,NA,NA,NA,NA,not found,Trimezia spathata sincorensis,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,not found,Trimezia spathata spathata,NA,NA,NA,NA,Trimezia spathata
NA,NA,NA,NA,NA,NA,NA,NA,not found,Trimezia spathata spectabilis,NA,NA,NA,NA,Trimezia spectabilis
607714,Pseudotrimezia speciosa (Ravenna) Chukr,NA,Iridaceae,species,accepted,Pseudotrimezia speciosa,NA,replaced synonym,Trimezia speciosa,Erva,NA,Campo rupestre,Cerrado,Pseudotrimezia speciosa
30071,Trimezia spectabilis Ravenna,NA,Iridaceae,species,accepted,Trimezia spectabilis,NA,,Trimezia spectabilis,Erva,Terrícola,Campo rupestre|Cerrado (lato sensu),Cerrado,Trimezia spectabilis
8076,Trimezia Salisb. ex Herb.,NA,Iridaceae,genus,accepted,Trimezia sp.,NA,,Trimezia sp.,NA,NA,NA,NA,NA
606780,Pseudotrimezia truncata (Ravenna) Lovo & A.Gil,NA,Iridaceae,species,accepted,Pseudotrimezia truncata,NA,replaced synonym,Trimezia truncata,Erva,Terrícola,Campo rupestre,Cerrado,Pseudotrimezia truncata
NA,NA,NA,NA,NA,NA,NA,NA,not found,Trimezia undesignated,NA,NA,NA,NA,NA
30071,Trimezia spectabilis Ravenna,NA,Iridaceae,species,accepted,Trimezia spectabilis,NA,replaced synonym,Trimezia urupa,Erva,Terrícola,Campo rupestre|Cerrado (lato sensu),Cerrado,Trimezia spectabilis
606873,Deluciris violacea (Klatt) A.Gil & Lovo,NA,Iridaceae,species,accepted,Deluciris violacea,NA,replaced synonym,Trimezia violacea,Erva,Aquática|Terrícola,Campo rupestre|Cerrado (lato sensu)|Vegetação Aquática|Vegetação Sobre Afloramentos Rochosos,Cerrado|Mata Atlântica,Deluciris violacea
NA,NA,NA,NA,NA,NA,NA,NA,not found,Trimezia xanthomelas,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,not found,Trimezia xyridea,NA,NA,NA,NA,NA
