id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,life.form,habitat,vegetation.type,domain,corrected.name
85242,Comolia villosa (Aubl.) Triana,NA,Melastomataceae,species,accepted,Comolia villosa,NA,replaced synonym,Comolia purpurea,Arbusto|Subarbusto,Terrícola,Campinarana|Restinga|Savana Amazônica,Amazônia|Caatinga|Mata Atlântica,Comolia villosa
604559,Fritzschia sertularia (Schrank & Mart. ex DC.) M.J.R.Rocha & P.J.F.Guim.,NA,Melastomataceae,species,accepted,Fritzschia sertularia,NA,replaced synonym,Comolia sertularia,Subarbusto,Terrícola,Campo Limpo|Campo rupestre|Cerrado (lato sensu),Cerrado|Mata Atlântica,Fritzschia sertularia
NA,NA,NA,NA,NA,NA,NA,NA,not found,Comolia sessilis microcarpa,NA,NA,NA,NA,Fritzschia sessilis
604560,Fritzschia sessilis (Spreng.) M.J.R.Rocha & P.J.F.Guim.,NA,Melastomataceae,species,accepted,Fritzschia sessilis,NA,replaced synonym,Comolia sessilis,Subarbusto,Terrícola,Campo Limpo|Campo rupestre|Cerrado (lato sensu),Cerrado|Mata Atlântica,Fritzschia sessilis
109558,Comolia smithii Wurdack,NA,Melastomataceae,species,accepted,Comolia smithii,NA,,Comolia smithii,Arbusto|Subarbusto,Terrícola,Campinarana|Floresta de Terra Firme,Amazônia,Comolia smithii
604561,Fritzschia stenodon (Naudin) M.J.R.Rocha & P.J.F.Guim.,NA,Melastomataceae,species,accepted,Fritzschia stenodon,NA,replaced synonym,Comolia stenodon,Subarbusto,Terrícola,Campo Limpo|Campo rupestre|Cerrado (lato sensu),Cerrado,Fritzschia stenodon
NA,NA,NA,NA,NA,NA,NA,NA,not found,Comolia undesignated,NA,NA,NA,NA,NA
85242,Comolia villosa (Aubl.) Triana,NA,Melastomataceae,species,accepted,Comolia villosa,NA,was misspelled|replaced synonym,Comolia veronicifolia,Arbusto|Subarbusto,Terrícola,Campinarana|Restinga|Savana Amazônica,Amazônia|Caatinga|Mata Atlântica,Comolia villosa
85242,Comolia villosa (Aubl.) Triana,NA,Melastomataceae,species,accepted,Comolia villosa,NA,,Comolia villosa,Arbusto|Subarbusto,Terrícola,Campinarana|Restinga|Savana Amazônica,Amazônia|Caatinga|Mata Atlântica,Comolia villosa
109556,Comolia violacea (DC.) Triana,NA,Melastomataceae,species,synonym,Comolia violacea,NA,check no accepted name,Comolia violacea,NA,NA,NA,NA,Comolia violacea
