datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2019-06-10 10:10:07-03"	FZB-BH	BHZB	8634	"Minaria parva"	S	Plantae				Apocynaceae	Minaria	parva			"Rapini, A."	2012	10			380		"Andrade, I.R. et al."	2012	05	15				Brasil	MG	"Santana do Riacho"	"RPPN Brumas do Espinhaço e Ermo dos Gerais,Caminho para Cachoeira do Bicame"	-43.724167	-19.020833					1230	1230									"Ponto 102 634277 7896393 1230m Duplicata doada para Herbário HUEFS."	
"2019-02-27 14:01:37-03"	UFSJ	HUFSJ	1740	"Minaria acerosa"	S	Plantae				Apocynaceae	Minaria	acerosa		"(Mart.) T.U.P.Konno & Rapini"	"Pereira, JF"	2016	02			13710		"Sobral, M"							Brasil	"Minas Gerais"	Tiradentes	"Serra de São José"	-44.202944	-21.093861															"Erva 0,5 m, em campo rupestre; látex branco, abundante; flores creme-amareladas."	HUFSJ001740
"2019-12-09 10:45:46-03"	UFSJ	HUFSJ	2195	"Minaria acerosa"	S	Plantae				Apocynaceae	Minaria	acerosa		"(Mart.) T.U.P.Konno & Rapini"	"Pereira, JF"	2016	02			14076		"Sobral, M; Gonçalves, J; Guimarães, R; Santos, ACP"	2011	07	01				Brasil	"Minas Gerais"	Carrancas	"Serra de Carrancas"	-44.679861	-21.445861					127	127									"Erva lenhosa, 0,5 m, em campo rupestra elaterado; ramos com látex branco; flores amarelo-pálidas."	HUFSJ002195
"2019-11-01 15:33:01-03"	PUC-RIO	FCAB	3852	"Minaria acerosa"	PreservedSpecimen	Plantae			Angiospermae	Apocynaceae	Minaria	acerosa		"(Mart.) T.U.P.Konno & Rapini"	"R.G.P. Santos"	2016	10	21		s.n.		"L. Cunha; R. Silva; T.S.M. Grandi"	1985	04	28				Brasil	"Minas Gerais"	Caeté	"Serra da Piedade"	-43.666667	-19.816667					1720	1720									"Flores amarelas.; Campo rupestre; Herbáceo isolada; 3° estação de coleta."	003852
"2019-11-01 15:33:01-03"	PUC-RIO	FCAB	3864	"Minaria decussata"	PreservedSpecimen	Plantae			Angiospermae	Apocynaceae	Minaria	decussata		"(Mart.) T.U.P.Konno & Rapini"	"R.G.P. Santos"	2016	10	21		2226		"T.S.M. Grandi; J.C. Siqueira"	1986	04	27				Brasil	"Minas Gerais"	Caeté	"Serra da Piedade"	-43.666667	-19.816667					1650	1650									"Semi-arbustivo.; 2 estação de coleta."	003864
"2020-05-25 15:13:54-03"	FSU	FSU	000073124	"Minaria cordata"	PreservedSpecimen	Plantae				Apocynaceae	Minaria	cordata		"(Turcz.) T.U.P. Konno & Rapini"						13486		"R. Souza, H. S. Irwin, R. Reis dos Santos, J. W. Grear, Jr."							Brazil				0	0																
"2019-07-09 14:16:55-03"	F	FMNH-SEEDPLANTS	V0419947F	"Minaria acerosa"	PreservedSpecimen	Plantae	Spermatophyta	Dicotyledoneae		Asclepiadaceae	Minaria	acerosa			"RRC ID Flag"					42810	42810	"G. G. Hatschbach"	1980	3	20			"South America"	Brazil	"Minas Gerais"			-44	-18																V0419947F
"2019-07-09 14:16:49-03"	F	FMNH-SEEDPLANTS	V0419944F	"Minaria decussata"	PreservedSpecimen	Plantae	Spermatophyta	Dicotyledoneae		Asclepiadaceae	Minaria	decussata			"RRC ID Flag"					684	684	"M. Groppo"	2001	3	27			"South America"	Brazil	"Minas Gerais"			-44	-18																V0419944F
"2019-07-09 14:16:47-03"	F	FMNH-SEEDPLANTS	V0419945F	"Minaria decussata"	PreservedSpecimen	Plantae	Spermatophyta	Dicotyledoneae		Asclepiadaceae	Minaria	decussata			"RRC ID Flag"					28373	28373	"H. S. Irwin"	1970	3	26			"South America"	Brazil	"Minas Gerais"			-44	-18																V0419945F
"2019-07-09 14:16:47-03"	F	FMNH-SEEDPLANTS	V0419946F	"Minaria decussata"	PreservedSpecimen	Plantae	Spermatophyta	Dicotyledoneae		Asclepiadaceae	Minaria	decussata			"RRC ID Flag"					27119	27119	"H. S. Irwin"	1970	3	7			"South America"	Brazil	"Minas Gerais"			-44	-18																V0419946F
