taxa,suggested,corrected,srcs
Paepalanthus erectifolius grandifolia,Paepalanthus erectifolius var. grandifolia,Paepalanthus chiquitensis,The Plant List
Paepalanthus erectifolius,Paepalanthus erectifolius,Paepalanthus erectifolius,The Plant List
Paepalanthus erictfolius,Paepalanthus erectifolius,Paepalanthus erectifolius,The Plant List
Paepalanthus erigeron,Paepalanthus erigeron,Paepalanthus erigeron,The Plant List
Paepalanthus erigeron pubescens,Paepalanthus erigeron var. pubescens,Paepalanthus erigeron,The Plant List
Paepalanthus eriocauloides,Paepalanthus eriocauloides,Paepalanthus eriocauloides,The Plant List
Paepalanthus eriophaeus,Paepalanthus eriophaeus,Paepalanthus eriophaeus,The Plant List
Paepalanthus euryphyllus,Paepalanthus euryphyllus,Paepalanthus euryphyllus,The Plant List
Paepalanthus exiguus,Paepalanthus exiguus,Paepalanthus exiguus,The Plant List
Paepalanthus extremensis,Paepalanthus extremensis,Paepalanthus extremensis,The Plant List
Paepalanthus falcatus,Paepalanthus falcatus,Paepalanthus pedunculatus,The Plant List
Paepalanthus fasciculatus icanensis,NA,Paepalanthus fasciculatus,The Plant List
Paepalanthus fasciculatus,Paepalanthus fasciculatus,Paepalanthus fasciculatus,The Plant List
Paepalanthus fasciculatus sphaerocephala,NA,Paepalanthus fasciculatus,The Plant List
Paepalanthus fasciculatus sphaerocephalus,NA,Paepalanthus fasciculatus,The Plant List
Paepalanthus fasciculifer capillifolius,Paepalanthus fasciculifer var. capillifolius,Paepalanthus fasciculifer var. capillifolius,Flora do Brasil
Paepalanthus fasciculifer,Paepalanthus fasciculifer,Paepalanthus fasciculifer,The Plant List
Paepalanthus fastigiatus,Paepalanthus fastigiatus,Paepalanthus fastigiatus,The Plant List
Paepalanthus filifolius,Paepalanthus falcifolius,NA,
Paepalanthus filosus,Paepalanthus filosus,Paepalanthus scirpeus,The Plant List
Paepalanthus fimbriatus,Paepalanthus fimbriatus,Actinocephalus fimbriatus,The Plant List
Paepalanthus flaccidus,Paepalanthus flaccidus,Paepalanthus flaccidus,The Plant List
Paepalanthus flavidulus,Paepalanthus flavorutilus,Syngonanthus flavidulus,The Plant List
Paepalanthus flavorutilus,Paepalanthus flavorutilus,Paepalanthus flavorutilus,The Plant List
Paepalanthus flexuosus,Paepalanthus flexuosus,Paepalanthus flexuosus,The Plant List
Paepalanthus freyreisii,Paepalanthus freyreissii,Paepalanthus freyreissii,The Plant List
Paepalanthus freyreissii,Paepalanthus freyreissii,Paepalanthus freyreissii,The Plant List
Paepalanthus freyreysii,Paepalanthus freyreissii,Paepalanthus freyreissii,The Plant List
Paepalanthus fuscus,Paepalanthus fuscus,Paepalanthus comans,The Plant List
Paepalanthus gardnerianus,Paepalanthus gardnerianus,Paepalanthus gardnerianus,The Plant List
Paepalanthus garimpensis,Paepalanthus garimpensis,Paepalanthus garimpensis,The Plant List
Paepalanthus geniculatus,Paepalanthus geniculatus,Paepalanthus geniculatus,The Plant List
Paepalanthus gibbosus,Paepalanthus gibbosus,Paepalanthus gibbosus,The Plant List
Paepalanthus giganteus,Paepalanthus giganteus,Paepalanthus chiquitensis,The Plant List
Paepalanthus glabrifolius,Paepalanthus glabrifolius,Paepalanthus glabrifolius,The Plant List
Paepalanthus glareosus,Paepalanthus glareosus,Paepalanthus glareosus,The Plant List
Paepalanthus glaziovii,Paepalanthus glaziovii,Actinocephalus falcifolius,The Plant List
Paepalanthus gleasonii,Paepalanthus gleasonii,Paepalanthus gleasonii,The Plant List
Paepalanthus globosus,Paepalanthus globosus,Paepalanthus globosus,The Plant List
Paepalanthus globulifer,Paepalanthus globulifer,Paepalanthus planifolius var. globulifer,The Plant List
Paepalanthus gneissicola,Paepalanthus gneissicola,Paepalanthus acantholimon,The Plant List
Paepalanthus gomesii,Paepalanthus gomesii,Paepalanthus gomesii,The Plant List
Paepalanthus goncalensis,Paepalanthus goncalensis,Paepalanthus comans,The Plant List
Paepalanthus goyazensis,Paepalanthus goyazensis,Syngonanthus goyazensis,The Plant List
Paepalanthus gracilis,Paepalanthus gracilis,Syngonanthus gracilis,The Plant List
Paepalanthus grandiflorus,Paepalanthus parviflorus,NA,
Paepalanthus grao-mogolensis,Paepalanthus grao-mogolensis,Paepalanthus grao-mogolensis,The Plant List
Paepalanthus graomogolensis,Paepalanthus grao-mogolensis,Paepalanthus grao-mogolensis,The Plant List
Paepalanthus graomongolensis,Paepalanthus grao-mogolensis,Paepalanthus grao-mogolensis,The Plant List
Paepalanthus guaraiensis,Paepalanthus guaraiensis,Paepalanthus guaraiensis,The Plant List
Paepalanthus gustavii,Paepalanthus gustavii,Paepalanthus canastrensis,The Plant List
Paepalanthus gyrotrichus,Paepalanthus gyrotrichus,Paepalanthus gyrotrichus,The Plant List
Paepalanthus habenulifer,Paepalanthus habenulifer,Paepalanthus senaeanus,The Plant List
Paepalanthus harleyi,Paepalanthus harleyi,Paepalanthus harleyi,The Plant List
Paepalanthus harmsii,Paepalanthus harmsii,Paepalanthus harmsii,The Plant List
Paepalanthus hatschbachii,Paepalanthus hatschbachii,Paepalanthus catharinae var. hatschbachii,The Plant List
Paepalanthus helichrysoides,Paepalanthus helichrysoides,Paepalanthus elongatus,The Plant List
Paepalanthus helminthorrhizus,Paepalanthus helminthorrhizus,Syngonanthus helminthorrhizus,The Plant List
Paepalanthus henriquei,Paepalanthus henriquei,Paepalanthus henriquei,The Plant List
Paepalanthus heteropus,Paepalanthus heteropus,Paepalanthus heteropus,The Plant List
