taxa,suggested,corrected,srcs
Paepalanthus magalhaesii,Paepalanthus magalhaesii,Paepalanthus magalhaesii,The Plant List
Paepalanthus manicatus f. robusta,NA,Paepalanthus manicatus,The Plant List
Paepalanthus manicatus,Paepalanthus manicatus,Paepalanthus manicatus,The Plant List
Paepalanthus manicatus robusta,NA,Paepalanthus manicatus,The Plant List
Paepalanthus melaleucus,Paepalanthus melaleucus,Paepalanthus melaleucus,The Plant List
Paepalanthus melanthus,Paepalanthus melanthus,Paepalanthus melanthus,The Plant List
Paepalanthus mendoncianus,Paepalanthus mendoncianus,Paepalanthus mendoncianus,The Plant List
Paepalanthus mexiae,Paepalanthus mexiae,Paepalanthus mexiae,The Plant List
Paepalanthus microcaulon,Paepalanthus microcaulon,Paepalanthus microcaulon,The Plant List
Paepalanthus microphyllus,Paepalanthus microphyllus,Paepalanthus microphyllus,The Plant List
Paepalanthus minasensis,Paepalanthus minasensis,Paepalanthus minasensis,The Plant List
Paepalanthus minutulus,Paepalanthus minutulus,Paepalanthus minutulus,The Plant List
Paepalanthus mirabilis,Paepalanthus mirabilis,Paepalanthus senaeanus,The Plant List
Paepalanthus miser,Paepalanthus miser,Paepalanthus miser,The Plant List
Paepalanthus modestus,Paepalanthus congestus,Paepalanthus modestus,Flora do Brasil
Paepalanthus moedensis,Paepalanthus moedensis,Paepalanthus moedensis,The Plant List
Paepalanthus mollis itambeensis,Paepalanthus mollis var. itambeensis,Paepalanthus mollis var. itambeensis,Flora do Brasil
Paepalanthus mollis mollis,Paepalanthus mollis var. mollis,Paepalanthus mollis,The Plant List
Paepalanthus mollis,Paepalanthus mollis,Paepalanthus mollis,The Plant List
Paepalanthus multicapitatus,Paepalanthus multicostatus,Paepalanthus multicapitatus,The Plant List
Paepalanthus multicostatus,Paepalanthus multicostatus,Paepalanthus calvus,The Plant List
Paepalanthus myocephalus minor,Paepalanthus myocephalus var. minor,Paepalanthus myocephalus var. minor,The Plant List
Paepalanthus myocephalus,Paepalanthus myocephalus,Paepalanthus myocephalus,The Plant List
Paepalanthus myriophyllus,Paepalanthus myriophyllus,Paepalanthus myriophyllus,The Plant List
Paepalanthus nanus,Paepalanthus nanus,Paepalanthus nanus,The Plant List
Paepalanthus neglectus,Paepalanthus neglectus,Paepalanthus neglectus,The Plant List
Paepalanthus neocaldensis,Paepalanthus neocaldensis,Paepalanthus flaccidus,The Plant List
Paepalanthus niger,Paepalanthus miser,Paepalanthus niger,The Plant List
Paepalanthus nigrescens,Paepalanthus nigrescens,Paepalanthus nigrescens,The Plant List
Paepalanthus nigrescens pilosus,Paepalanthus nigrescens var. pilosus,Paepalanthus nigrescens,The Plant List
Paepalanthus nigrescens var. pilosa,Paepalanthus nigrescens var. pilosus,Paepalanthus nigrescens,The Plant List
Paepalanthus nigricaulis,Paepalanthus nigricaulis,Paepalanthus nigricaulis,The Plant List
Paepalanthus niveo-niger,Paepalanthus niveoniger,Paepalanthus superbus var. niveoniger,Flora do Brasil
Paepalanthus niveoniger,Paepalanthus niveoniger,Paepalanthus superbus var. niveoniger,Flora do Brasil
Paepalanthus nubigena,Paepalanthus nubigena,Leiothrix nubigena,The Plant List
Paepalanthus nudus,Paepalanthus nudus,Actinocephalus stereophyllus,The Plant List
Paepalanthus oblongifolius,Paepalanthus oblongifolius,Paepalanthus oblongifolius,The Plant List
Paepalanthus obtusifolius,Paepalanthus obtusifolius,Paepalanthus obtusifolius,The Plant List
Paepalanthus oerstedianus,Paepalanthus oerstedianus,Paepalanthus oerstedianus,The Plant List
Paepalanthus ovatus,Paepalanthus ovatus,Paepalanthus ovatus,The Plant List
Paepalanthus oxyphyllus,Paepalanthus oxyphyllus,Paepalanthus oxyphyllus,The Plant List
Paepalanthus pallidus,Paepalanthus pallidus,Paepalanthus pallidus,The Plant List
Paepalanthus parviflorus,Paepalanthus parviflorus,Paepalanthus parviflorus,The Plant List
Paepalanthus parvus,Paepalanthus parvus,Paepalanthus parvus,The Plant List
Paepalanthus pauciflorus,Paepalanthus pauciflorus,Paepalanthus spixianus,The Plant List
Paepalanthus paulinus,Paepalanthus paulinus,Paepalanthus paulinus,The Plant List
Paepalanthus pauperrimus,Paepalanthus pauperrimus,Paepalanthus subtilis,The Plant List
Paepalanthus pedunculatus,Paepalanthus pedunculatus,Paepalanthus pedunculatus,The Plant List
Paepalanthus perbracchiatus,Paepalanthus perbracchiatus,Paepalanthus perbracchiatus,The Plant List
Paepalanthus percrassus,Paepalanthus percrassus,Actinocephalus claussenianus,The Plant List
Paepalanthus perpusillus,Paepalanthus perpusillus,Paepalanthus perpusillus,The Plant List
Paepalanthus phaeocephalus foliosus,Paepalanthus phaeocephalus var. foliosus,Paepalanthus phaeocephalus,The Plant List
Paepalanthus phaeocephalus,Paepalanthus phaeocephalus,Paepalanthus phaeocephalus,The Plant List
Paepalanthus pilifer,Paepalanthus pilifer,Paepalanthus argenteus,The Plant List
Paepalanthus pilulifer,Paepalanthus pilulifer,Leiothrix pilulifera,The Plant List
Paepalanthus plagiostigma,Paepalanthus plagiostigma,Paepalanthus plagiostigma,The Plant List
Paepalanthus planifolius,Paepalanthus planifolius,Paepalanthus planifolius,The Plant List
Paepalanthus planifolius villosus,Paepalanthus planifolius var. villosus,Paepalanthus planifolius,The Plant List
Paepalanthus plantagineus,Paepalanthus plantagineus,Paepalanthus plantagineus,The Plant List
Paepalanthus plantago,Paepalanthus plantago,Leiothrix curvifolia var. plantago,The Plant List
Paepalanthus plumipes,Paepalanthus plumipes,Actinocephalus polyanthus var. plumipes,The Plant List
Paepalanthus plumosus,Paepalanthus plumosus,Paepalanthus plumosus,The Plant List
Paepalanthus polyandrus,Paepalanthus polyandrus,Paepalanthus polyandrus,The Plant List
Paepalanthus polyanthus,Paepalanthus polyanthus,Actinocephalus polyanthus var. plumipes,The Plant List
Paepalanthus polycladus,Paepalanthus polycladus,Paepalanthus polycladus,The Plant List
Paepalanthus polygonus,Paepalanthus polygonus,Paepalanthus polygonus,The Plant List
Paepalanthus polytrichoides glaber,Paepalanthus polytrichoides var. glaber,Paepalanthus polytrichoides,The Plant List
Paepalanthus polytrichoides,Paepalanthus polytrichoides,Paepalanthus polytrichoides,The Plant List
Paepalanthus praemorsus,Paepalanthus praemorsus,Paepalanthus praemorsus,The Plant List
Paepalanthus prostratum,Paepalanthus prostratus,Paepalanthus prostratus,The Plant List
Paepalanthus prostratus,Paepalanthus prostratus,Paepalanthus prostratus,The Plant List
Paepalanthus pruinosus,Paepalanthus pruinosus,Paepalanthus pruinosus,The Plant List
Paepalanthus pseudoelongatus,Paepalanthus pseudoelongatus,Paepalanthus pseudoelongatus,The Plant List
Paepalanthus pseudotortilis,Paepalanthus pseudotortilis,Paepalanthus pseudotortilis,The Plant List
Paepalanthus pubescens,Paepalanthus pubescens,Paepalanthus pubescens,The Plant List
Paepalanthus pulchellus,Paepalanthus pulchellus,Paepalanthus pulchellus,The Plant List
Paepalanthus pulchellus puberulentus,Paepalanthus pulchellus var. puberulentus,Paepalanthus pulchellus,The Plant List
Paepalanthus pullus,Paepalanthus pullus,Paepalanthus pullus,The Plant List
Paepalanthus pulvinatus,Paepalanthus pulvinatus,Paepalanthus pulvinatus,The Plant List
Paepalanthus ramosissimus,Paepalanthus ramosissimus,Actinocephalus ramosus,The Plant List
Paepalanthus ramosus affinis,Paepalanthus ramosus var. affinis,Actinocephalus ramosus,The Plant List
Paepalanthus ramosus,Paepalanthus ramosus,Actinocephalus ramosus,The Plant List
Paepalanthus rectifolius,Paepalanthus rectifolius,Paepalanthus rectifolius,Flora do Brasil
Paepalanthus reflexus,Paepalanthus reflexus,Paepalanthus reflexus,The Plant List
Paepalanthus refractifolius,Paepalanthus refractifolius,Paepalanthus refractifolius,The Plant List
Paepalanthus regalis,Paepalanthus regalis,Paepalanthus regalis,The Plant List
Paepalanthus regalis recurva,Paepalanthus regalis var. recurvata,Paepalanthus regalis,The Plant List
Paepalanthus regelianus,Paepalanthus regelianus,Paepalanthus regelianus,The Plant List
Paepalanthus restingensis,Paepalanthus serrinhensis,Paepalanthus restingensis,The Plant List
Paepalanthus revolutus,Paepalanthus revolutus,Paepalanthus revolutus,The Plant List
Paepalanthus rhizocephalus,Paepalanthus rhizocephalus,Paepalanthus rhizocephalus,The Plant List
Paepalanthus rhizomatosus,Paepalanthus rhizomatosus,Paepalanthus rhizomatosus,The Plant List
Paepalanthus riedelianus,Paepalanthus riedelianus,Paepalanthus riedelianus,The Plant List
Paepalanthus rigidus,Paepalanthus rigidus,Actinocephalus rigidus,The Plant List
Paepalanthus robustus,Paepalanthus robustus,Actinocephalus robustus,The Plant List
Paepalanthus ruficeps,Paepalanthus ruficeps,Paepalanthus ruficeps,The Plant List
Paepalanthus rufoalbus,Paepalanthus rufo-albus,Paepalanthus rufoalbus,The Plant List
Paepalanthus rugrescens,Paepalanthus nigrescens,NA,
Paepalanthus rupestre,Paepalanthus rupestris,Paepalanthus rupestris,The Plant List
Paepalanthus rupestris,Paepalanthus rupestris,Paepalanthus rupestris,The Plant List
Paepalanthus salticola,Paepalanthus salticola,Paepalanthus tortilis,The Plant List
Paepalanthus saxatilis,Paepalanthus saxatilis,Paepalanthus saxatilis,The Plant List
Paepalanthus saxicola,Paepalanthus saxicola,Paepalanthus saxicola,The Plant List
Paepalanthus saxicola pilosus,Paepalanthus saxicola var. pilosus,Paepalanthus saxicola,The Plant List
Paepalanthus scandens almasensis,Paepalanthus scandens var. almasensis,Paepalanthus stannardii,The Plant List
Paepalanthus scandens,Paepalanthus scandens,Paepalanthus scandens,The Plant List
Paepalanthus scholiophyllus,Paepalanthus scholiophyllus,Paepalanthus scholiophyllus,The Plant List
Paepalanthus schuechianus,Paepalanthus schuechianus,Paepalanthus schuechianus,The Plant List
Paepalanthus scirpeum,Paepalanthus scirpeus,Paepalanthus scirpeus,The Plant List
Paepalanthus scirpeus,Paepalanthus scirpeus,Paepalanthus scirpeus,The Plant List
Paepalanthus scleranthus,Paepalanthus scleranthus,Paepalanthus scleranthus,The Plant List
Paepalanthus scytophyllus,Paepalanthus scytophyllus,Paepalanthus scytophyllus,The Plant List
Paepalanthus sedoides,Paepalanthus sedoides,Paepalanthus sedoides,The Plant List
Paepalanthus senaeanus,Paepalanthus senaeanus,Paepalanthus senaeanus,The Plant List
Paepalanthus senaianus,Paepalanthus senaeanus,Paepalanthus senaeanus,The Plant List
Paepalanthus seneanus,Paepalanthus senaeanus,Paepalanthus senaeanus,The Plant List
Paepalanthus sericeus,Paepalanthus sericeus,Paepalanthus sericeus,The Plant List
Paepalanthus serpens,Paepalanthus serpens,Paepalanthus serpens,Flora do Brasil
Paepalanthus sessiliflorus,Paepalanthus sessiliflorus,Paepalanthus sessiliflorus,The Plant List
Paepalanthus sicaefolius,Paepalanthus sicaefolius,Paepalanthus sicaefolius,Flora do Brasil
Paepalanthus silveirae,Paepalanthus silveirae,Paepalanthus silveirae,The Plant List
Paepalanthus similis,Paepalanthus similis,Actinocephalus polyanthus ,The Plant List
Paepalanthus singularius,Paepalanthus singularius,Paepalanthus singularius,The Plant List
Paepalanthus spathulatus,Paepalanthus spathulatus,Paepalanthus spathulatus,The Plant List
Paepalanthus speciosus angustifolius,Paepalanthus speciosus var. angustifolius,Paepalanthus chiquitensis,The Plant List
Paepalanthus speciosus attenuatus,Paepalanthus speciosus var. attenuatus,Paepalanthus chiquitensis,The Plant List
Paepalanthus speciosus calvescens,Paepalanthus speciosus var. calvescens,Paepalanthus chiquitensis,The Plant List
Paepalanthus speciosus chlorocephalus,Paepalanthus speciosus var. chlorocephalus,Paepalanthus erectifolius,The Plant List
Paepalanthus speciosus glaber,Paepalanthus speciosus var. glaber,Paepalanthus erectifolius,The Plant List
Paepalanthus speciosus,Paepalanthus speciosus,Actinocephalus polyanthus ,The Plant List
Paepalanthus speciosus pulverulentus,Paepalanthus speciosus var. pulverulentus,Paepalanthus chiquitensis,The Plant List
Paepalanthus speciosus var. chlorocephala,Paepalanthus speciosus var. chlorocephalus,Paepalanthus erectifolius,The Plant List
Paepalanthus speleicola,Paepalanthus speleicolus,Paepalanthus speleicola,The Plant List
Paepalanthus sphaenocephalus,Paepalanthus sphaerocephalus,Paepalanthus sphaerocephalus,The Plant List
Paepalanthus sphaerocephalus,Paepalanthus sphaerocephalus,Paepalanthus sphaerocephalus,The Plant List
Paepalanthus sphaeroides,Paepalanthus sphaeroides,Paepalanthus sphaeroides,Flora do Brasil
Paepalanthus spirifer,Paepalanthus spirifer,Actinocephalus polyanthus ,The Plant List
Paepalanthus spirophorus,Paepalanthus spirophorus,Paepalanthus spirophorus,The Plant List
Paepalanthus spixiana,Paepalanthus spixianus,NA,
Paepalanthus spixianus,Paepalanthus spixianus,Paepalanthus spixianus,The Plant List
Paepalanthus stannardii,Paepalanthus stannardii,Paepalanthus stannardii,The Plant List
Paepalanthus stellatus,Paepalanthus stellatus,Paepalanthus stellatus,The Plant List
Paepalanthus stephanophorus,Paepalanthus stephanophorus,Paepalanthus stephanophorus,The Plant List
Paepalanthus stereophyllus,Paepalanthus stereophyllus,Actinocephalus stereophyllus,The Plant List
Paepalanthus striatus,Paepalanthus striatus,Paepalanthus striatus,The Plant List
Paepalanthus strictus,Paepalanthus strictus,Paepalanthus strictus,The Plant List
Paepalanthus stuetzelii,Paepalanthus stuetzelii,Paepalanthus stuetzelii,The Plant List
Paepalanthus subfalcatus,Paepalanthus subfalcatus,Paepalanthus subfalcatus,The Plant List
Paepalanthus subfalcatus villosus,Paepalanthus subfalcatus var. villosus,Paepalanthus subfalcatus,The Plant List
Paepalanthus subtilis,Paepalanthus subtilis,Paepalanthus subtilis,The Plant List
Paepalanthus subulatus,Paepalanthus subulatus,Paepalanthus subtilis,The Plant List
Paepalanthus succisus,Paepalanthus succisus,Paepalanthus succisus,The Plant List
Paepalanthus suffruticans,Paepalanthus suffruticans,Paepalanthus suffruticans,The Plant List
Paepalanthus superbus gracilis,Paepalanthus superbus var. gracilis,Paepalanthus superbus var. gracilis,Flora do Brasil
Paepalanthus superbus,Paepalanthus superbus,Paepalanthus superbus,The Plant List
Paepalanthus superbus niveoniger,Paepalanthus superbus var. niveoniger,Paepalanthus superbus var. niveoniger,The Plant List
Paepalanthus superbus niveo-niger,Paepalanthus superbus var. niveoniger,Paepalanthus superbus var. niveoniger,The Plant List
Paepalanthus superbus superbus,Paepalanthus superbus var. superbus,Paepalanthus superbus,The Plant List
Paepalanthus supinus,Paepalanthus supinus,Paepalanthus supinus,The Plant List
Paepalanthus tatei,Paepalanthus tatei,Paepalanthus tortilis,The Plant List
Paepalanthus tenuicaulis,Paepalanthus tenuicaulis,Paepalanthus tenuicaulis,The Plant List
Paepalanthus tessmannii,Paepalanthus tessmannii,Paepalanthus tessmannii,The Plant List
Paepalanthus tortilis,Paepalanthus tortilis,Paepalanthus tortilis,The Plant List
Paepalanthus triangularis,Paepalanthus triangularis,Paepalanthus triangularis,The Plant List
Paepalanthus trichopeplus,Paepalanthus trichopeplus,Paepalanthus trichopeplus,The Plant List
Paepalanthus trichopetalus,Paepalanthus trichopetalus,Paepalanthus trichopetalus,The Plant List
Paepalanthus trichophyllus,Paepalanthus trichophyllus,Paepalanthus trichophyllus,The Plant List
Paepalanthus tricophyllus,Paepalanthus trichophyllus,Paepalanthus trichophyllus,The Plant List
Paepalanthus tuberculatus,Paepalanthus tuberculatus,Actinocephalus robustus,The Plant List
Paepalanthus tuberosus,Paepalanthus tuberosus,Paepalanthus tuberosus,The Plant List
Paepalanthus uleanus,Paepalanthus uleanus,Paepalanthus uleanus,The Plant List
Paepalanthus umbrosus,Paepalanthus umbrosus,Paepalanthus umbrosus,The Plant List
Paepalanthus uncinatus,Paepalanthus uncinatus,Paepalanthus uncinatus,The Plant List
Paepalanthus uncinatus rectus,Paepalanthus uncinatus var. rectus,Paepalanthus uncinatus var. rectus,Flora do Brasil
Paepalanthus undesignated,Paepalanthus uncinatus,NA,
Paepalanthus undulatus,Paepalanthus undulatus,Paepalanthus undulatus,The Plant List
Paepalanthus urbanianus,Paepalanthus urbanianus,Paepalanthus urbanianus,The Plant List
Paepalanthus usterii,Paepalanthus usterii,Paepalanthus usterii,The Plant List
Paepalanthus vaginatus,Paepalanthus vaginatus,Syngonanthus fischerianus,The Plant List
Paepalanthus variabilis,Paepalanthus variabilis,Paepalanthus variabilis,The Plant List
Paepalanthus variabilis var. glabrescens,Paepalanthus variabilis var. glabrescens,Paepalanthus variabilis,The Plant List
Paepalanthus varibilis,Paepalanthus variabilis,Paepalanthus variabilis,The Plant List
Paepalanthus vellozioides,Paepalanthus vellozioides,Paepalanthus vellozioides,The Plant List
Paepalanthus velutinus,Paepalanthus velutinus,Paepalanthus velutinus,The Plant List
Paepalanthus velutiphyllus,Paepalanthus velutiphyllus,Paepalanthus velutiphyllus,Flora do Brasil
Paepalanthus verticillatus,Paepalanthus verticillatus,Syngonanthus verticillatus,The Plant List
Paepalanthus vestitus caulescens,Paepalanthus vestitus var. caulescens,Paepalanthus cinereus,Flora do Brasil
Paepalanthus vestitus,Paepalanthus vestitus,Paepalanthus vestitus,The Plant List
Paepalanthus villipes,Paepalanthus villipes,Paepalanthus villipes,The Plant List
Paepalanthus villosulus,Paepalanthus villosulus,Paepalanthus villosulus,The Plant List
Paepalanthus viridis,Paepalanthus viridis,Paepalanthus lamarckii,The Plant List
Paepalanthus viridulus,Paepalanthus viridulus,Paepalanthus viridulus,The Plant List
Paepalanthus weddellii gracilis,NA,NA,
Paepalanthus williamsii,Paepalanthus williamsii,Syngonanthus williamsii,The Plant List
Paepalanthus xanthopus,Paepalanthus xanthopus,Paepalanthus xanthopus,The Plant List
Paepalanthus xiphophyllus,Paepalanthus xiphophyllus,Paepalanthus xiphophyllus,The Plant List
