"id","scientific.name","accepted.name","family","taxon.rank","taxon.status","search.str","threat.status","notes","original.search","life.form","habitat","vegetation.type","domain"
37664,"Habenaria gracilis Lindl.",NA,"Orchidaceae","species","accepted","Habenaria gracilis",NA,"","Habenaria gracilis","Erva","Terrícola","Campo Limpo","Cerrado|Mata Atlântica"
20070,"Habenaria imbricata Lindl.",NA,"Orchidaceae","species","accepted","Habenaria imbricata",NA,"replaced synonym","Habenaria graciliscapa","Erva","Terrícola","Campo de Altitude|Campo Limpo|Campo rupestre","Amazônia|Cerrado"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Habenaria guaraensis",NA,NA,NA,NA
31897,"Habenaria guilleminii Rchb.f.",NA,"Orchidaceae","species","accepted","Habenaria guilleminii",NA,"was misspelled","Habenaria guillemini","Erva","Terrícola","Campo Limpo|Campo rupestre","Cerrado|Mata Atlântica"
31897,"Habenaria guilleminii Rchb.f.",NA,"Orchidaceae","species","accepted","Habenaria guilleminii",NA,"","Habenaria guilleminii","Erva","Terrícola","Campo Limpo|Campo rupestre","Cerrado|Mata Atlântica"
11668,"Habenaria gustavi-edwallii Hoehne",NA,"Orchidaceae","species","accepted","Habenaria gustavi-edwallii",NA,"","Habenaria gustavi-edwallii","Erva","Terrícola","Campo de Altitude","Mata Atlântica"
11668,"Habenaria gustavi-edwallii Hoehne",NA,"Orchidaceae","species","accepted","Habenaria gustavi-edwallii",NA,"was misspelled","Habenaria gustavo-edwallii","Erva","Terrícola","Campo de Altitude","Mata Atlântica"
20068,"Habenaria hamata Barb.Rodr.",NA,"Orchidaceae","species","accepted","Habenaria hamata",NA,"","Habenaria hamata","Erva","Terrícola","Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Vegetação Sobre Afloramentos Rochosos","Amazônia|Caatinga|Cerrado"
11683,"Habenaria macronectar (Vell.) Hoehne",NA,"Orchidaceae","species","accepted","Habenaria macronectar","LC","replaced synonym","Habenaria helodes","Erva","Terrícola","Área Antrópica|Campo de Altitude|Campo Limpo|Campo rupestre|Floresta Estacional Semidecidual","Cerrado|Mata Atlântica"
11671,"Habenaria henscheniana Barb.Rodr.",NA,"Orchidaceae","species","accepted","Habenaria henscheniana",NA,"","Habenaria henscheniana","Erva","Terrícola","Campo Limpo","Mata Atlântica"
