"taxa","suggested"
"Vellozia glochidea","Vellozia glochidea"
"Vellozia goiasensis","Vellozia goiasensis"
"Vellozia gracilis","Vellozia gracilis"
"Vellozia graminea","Vellozia graminea"
"Vellozia granulata","Vellozia granulata"
"Vellozia grao-mogolensis","Vellozia graomogolensis"
"Vellozia grao-mogulensis","Vellozia grao-mogulensis"
"Vellozia graomogolensis","Vellozia graomogolensis"
"Vellozia graomogulensis","Vellozia grao-mogulensis"
"Vellozia grisea","Vellozia grisea"
"Vellozia grotegens","Vellozia geotegens"
"Vellozia gurkenii","Vellozia gurkenii"
"Vellozia harleyi","Vellozia harleyi"
"Vellozia hatschbachii","Vellozia hatschbachii"
"Vellozia hemisphaerica","Vellozia hemisphaerica"
"Vellozia hipoxoides","Vellozia hypoxoides"
"Vellozia hirsuta","Vellozia hirsuta"
"Vellozia hypoxoides","Vellozia hypoxoides"
"Vellozia incurvata","Vellozia incurvata"
"Vellozia intermedia","Vellozia intermedia"
"Vellozia jiboia","Vellozia fibrosa"
"Vellozia joly","Vellozia jolyi"
"Vellozia jolyi","Vellozia jolyi"
"Vellozia kolbekii","Vellozia kolbekii"
"Vellozia laevis","Vellozia laevis"
"Vellozia lanata","Vellozia lanata"
"Vellozia leptopetala","Vellozia leptopetala"
"Vellozia leucanthos","Vellozia leucanthos"
"Vellozia lilacina","Vellozia lilacina"
"Vellozia luteola","Vellozia luteola"
"Vellozia macedonis","Vellozia macedonis"
"Vellozia machrisiana","Vellozia machrisiana"
"Vellozia machristsiana","Vellozia machrisiana"
"Vellozia maculata","Vellozia maculata"
"Vellozia maguirei","Vellozia maguirei"
"Vellozia marcescens minor","Vellozia marcescens var. minor"
"Vellozia marcescens","Vellozia marcescens"
"Vellozia marcescens var. minor","Vellozia marcescens var. minor"
"Vellozia markgrafii","Vellozia markgrafii"
"Vellozia martiana","Vellozia martiana"
"Vellozia maxillarioides","Vellozia maxillarioides"
"Vellozia metzgerae","Vellozia metzgerae"
"Vellozia metzgeriae","Vellozia metzgerae"
"Vellozia minima","Vellozia minima"
"Vellozia modesta longior",NA
"Vellozia modesta","Vellozia modesta"
"Vellozia molle","Vellozia mollis"
"Vellozia nanuzae","Vellozia nanuzae"
"Vellozia nivea","Vellozia nivea"
