taxa,suggested,corrected,srcs
Pleurostima flavida,Pleurostima flavida,Barbacenia flavida,The Plant List
Pleurostima hatschbachii,Pleurostima hatschbachii,Barbacenia hatschbachii,The Plant List
Pleurostima inclinata,Pleurostima inclinata,Barbacenia inclinata,The Plant List
Pleurostima irwiniana,Pleurostima irwiniana,Barbacenia irwiniana,The Plant List
Pleurostima longiscapa,Pleurostima longiscapa,Barbacenia longiscapa,The Plant List
Pleurostima nuda,NA,?,
Pleurostima plantaginea,Prescottia plantaginea,?,
Pleurostima riparia,Pleurostima riparia,Barbacenia riparia,The Plant List
Pleurostima squamata,Pleurostima squamata,Barbacenia squamata,The Plant List
Pleurostima stenophylla,Pleurostima stenophylla,Barbacenia stenophylla,The Plant List
Vellozia abietina,Vellozia abietina,Vellozia abietina,The Plant List
Vellozia Aff. epidendroides,Vellozia aff. epidendroides,?,
Vellozia alata,Vellozia alata,Vellozia alata,The Plant List
Vellozia albiflora,Vellozia albiflora,Vellozia albiflora,The Plant List
Vellozia aloifolia,Vellozia aloifolia,Vellozia aloifolia,The Plant List
Vellozia angustifolia,Vellozia angustifolia,Vellozia angustifolia,The Plant List
Vellozia annulata,Vellozia annulata,Vellozia tubiflora,The Plant List
Vellozia armata,Vellozia armata,Vellozia armata,The Plant List
Vellozia asperula filifolia,Vellozia asperula var. filifolia,Vellozia filifolia,The Plant List
Vellozia asperula,Vellozia asperula,Vellozia asperula,The Plant List
Vellozia asperula var. filifolia,Vellozia asperula var. filifolia,Vellozia filifolia,The Plant List
Vellozia auriculata,Vellozia auriculata,Vellozia auriculata,The Plant List
Vellozia bahiana,Vellozia bahiana,Vellozia bahiana,The Plant List
Vellozia barbaceniifolia,Vellozia barbaceniifolia,Vellozia barbaceniifolia,The Plant List
Vellozia barbata,Vellozia barbata,Vellozia barbata,The Plant List
Vellozia bicarinata,Vellozia bicarinata,Vellozia bicarinata,The Plant List
Vellozia bicolor,Vellozia bicolor,Vellozia glandulifera,The Plant List
Vellozia blanchetiana,Vellozia blanchetiana,Vellozia blanchetiana,The Plant List
Vellozia brachypoda,Vellozia brachypoda,Vellozia brachypoda,The Plant List
Vellozia bradei,Vellozia bradei,Vellozia bradei,The Plant List
Vellozia brevifolia angustior,Vellozia brevifolia var. angustior,Vellozia brevifolia,Flora do Brasil 2020
Vellozia brevifolia,Vellozia brevifolia,Vellozia brevifolia,Flora do Brasil 2020
Vellozia brevifolia var. angustior l.b.sm.,Vellozia brevifolia var. angustior,Vellozia brevifolia,Flora do Brasil 2020
Vellozia brevifolia var. angustior,Vellozia brevifolia var. angustior,Vellozia brevifolia,Flora do Brasil 2020
Vellozia breviscapa,Vellozia breviscapa,Vellozia breviscapa,The Plant List
Vellozia burle-marxii,Vellozia burle-marxii,Vellozia burlemarxii,Flora do Brasil 2020
Vellozia burle,Vellozia harleyi,Vellozia burlemarxii,Flora do Brasil 2020
Vellozia burlemarxii,Vellozia burlemarxii,Vellozia burlemarxii,Flora do Brasil 2020
Vellozia caespitosa,Vellozia caespitosa,Vellozia caespitosa,The Plant List
Vellozia campanuloides,Vellozia campanuloides,Vellozia campanuloides,The Plant List
Vellozia cana,Vellozia cana,Vellozia tubiflora,The Plant List
Vellozia candida,Vellozia candida,Vellozia candida,The Plant List
Vellozia canelinha,Vellozia canelinha,Vellozia canelinha,The Plant List
Vellozia capiticola,Vellozia capiticola,Vellozia capiticola,The Plant List
Vellozia caput-ardeae,Vellozia caput-ardeae,Vellozia caput-ardeae,The Plant List
Vellozia caruncularis,Vellozia caruncularis,Vellozia caruncularis,The Plant List
Vellozia castanea,Vellozia castanea,Vellozia castanea,The Plant List
Vellozia caudata,Vellozia caudata,Vellozia caudata,The Plant List
Vellozia ciliata,Vellozia ciliata,Vellozia ciliata,The Plant List
Vellozia cinerascens,Vellozia cinerascens,Vellozia cinerascens,The Plant List
Vellozia cipoensis,Vellozia goiasensis,?,
Vellozia compacta,Vellozia compacta,Vellozia compacta,The Plant List
Vellozia contasana,Vellozia costata,?,
Vellozia coronata,Vellozia coronata,Vellozia coronata,The Plant List
Vellozia costata,Vellozia costata,Vellozia costata,The Plant List
Vellozia crassicaulis,Vellozia crassicaulis,Vellozia albiflora,The Plant List
Vellozia crassirama,Vellozia crassirama,Vellozia alutacea,The Plant List
Vellozia crinita,Vellozia crinita,Vellozia alutacea,The Plant List
Vellozia crispata,Vellozia crispata,Vellozia crispata,The Plant List
Vellozia cryptantha,Vellozia cryptantha,Vellozia cryptantha,The Plant List
Vellozia curuncularis,Vellozia caruncularis,Vellozia caruncularis,The Plant List
Vellozia dasypus,Vellozia dasypus,Vellozia dasypus,The Plant List
Vellozia dawsonii,Vellozia dawsonii,Vellozia tubiflora,The Plant List
Vellozia decidua,Vellozia decidua,Vellozia decidua,The Plant List
Vellozia declinans,Vellozia declinans,Vellozia declinans,The Plant List
Vellozia echinata,Vellozia echinata,Vellozia echinata,The Plant List
Vellozia epidendroides major,Vellozia epidendroides var. major,Vellozia declinans,The Plant List
Vellozia epidendroides,Vellozia epidendroides,Vellozia epidendroides,The Plant List
Vellozia epidendroides var. major,Vellozia epidendroides var. major,Vellozia declinans,The Plant List
Vellozia everaldii,Vellozia everaldoi,Vellozia everaldoi,Flora do Brasil 2020
Vellozia exilis,Vellozia exilis,Vellozia exilis,The Plant List
Vellozia fibrosa,Vellozia fibrosa,Vellozia fibrosa,The Plant List
Vellozia flavicans,Vellozia flavicans,Vellozia squamata,The Plant List
Vellozia fontellana,Vellozia stellata,?,
Vellozia froesii,Vellozia froesii,Vellozia froesii,The Plant List
