gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
1228477906	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/669/174/V0218476F.jpg		V0218476F	Diplusodon buxifolius Cham. & Schltdl., BRAZIL, F		Field Museum of Natural History - Botany Department | GDI 2013-2015					[Copyright] The Field Museum	
1228476315	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/669/277/V0218579F.jpg		V0218579F	Diplusodon smithii Lourteig, BRAZIL, F		Field Museum of Natural History - Botany Department | GDI 2013-2015					[Copyright] The Field Museum	
1228476035	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/669/263/V0218565F.jpg		V0218565F	Diplusodon rotundifolius DC., BRAZIL, F		Field Museum of Natural History - Botany Department | GDI 2013-2015					[Copyright] The Field Museum	
1228470329	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/669/258/V0218560F.jpg		V0218560F	Diplusodon rosmarinifolius A. St.-Hil., BRAZIL, F		Field Museum of Natural History - Botany Department | GDI 2013-2015					[Copyright] The Field Museum	
1228469928	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/669/212/V0218514F.jpg		V0218514F	Diplusodon oblongus Pohl, BRAZIL, F		Field Museum of Natural History - Botany Department | GDI 2013-2015					[Copyright] The Field Museum	
1228469485	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/58/750/V0062533F.jpg		V0062533F	Diplusodon plumbeus T. B. Cavalc., BRAZIL, T. B. Cavalcanti 1267, Isotype, F		Field Museum of Natural History - Botany Department | NSF/Mellon - GPI					[Copyright] Field Museum of Natural History - CC BY-NC	
1228466278	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/669/700/V0219135F.jpg		V0219135F	Diplusodon hirsutus DC., BRAZIL, F		Field Museum of Natural History - Botany Department | GDI 2013-2015					[Copyright] The Field Museum	
1228465572	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/669/716/V0219151F.jpg		V0219151F	Diplusodon macrodon Koehne, BRAZIL, F		Field Museum of Natural History - Botany Department | GDI 2013-2015					[Copyright] The Field Museum	
1228463717	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/136/945/V0076338F.jpg		V0076338F	Diplusodon subsericeus Casar. ex Koehne, Brazil, P. C. D. Clausen 113, Isolectotype, F		Field Museum of Natural History - Botany Department | NSF/Mellon - GPI					[Copyright] Field Museum of Natural History - CC BY-NC	
1228462652	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/136/936/V0076329F.jpg		V0076329F	Diplusodon lanceolatus var. alutaceus f. remota Koehne, Brazil, P. C. D. Clausen 308, Isosyntype, F		Field Museum of Natural History - Botany Department | NSF/Mellon - GPI					[Copyright] Field Museum of Natural History - CC BY-NC	
