datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2014-09-23 10:58:31-03"	G	G	G00227352	"Diplusodon macrodon"	S	Plantae				Lythraceae	Diplusodon	macrodon		Koehne	?				"TYPUS of Diplusodon macrodon Koehne"			"Gardner, G."	1842		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206042&base=img&lang=en"	G00227352
"2014-09-23 10:58:31-03"	G	G	G00227353	"Diplusodon macrodon"	S	Plantae				Lythraceae	Diplusodon	macrodon		Koehne	?				"TYPUS of Diplusodon macrodon Koehne"			"Gardner, G."	1842		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206043&base=img&lang=en"	G00227353
"2014-09-23 10:58:31-03"	G	G	G00227357	"Diplusodon macrodon"	S	Plantae				Lythraceae	Diplusodon	macrodon		Koehne	?				"TYPUS of Diplusodon macrodon Koehne"	3725		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206049&base=img&lang=en"	G00227357
"2014-09-23 10:58:31-03"	G	G	G00227358	"Diplusodon macrodon"	S	Plantae				Lythraceae	Diplusodon	macrodon		Koehne	?				"TYPUS of Diplusodon macrodon Koehne"	3725		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=229415&base=img&lang=en"	G00227358
"2014-09-23 10:58:31-03"	G	G	G00227348	"Diplusodon puberulus"	S	Plantae				Lythraceae	Diplusodon	puberulus		Koehne	"Cavalcanti, T. B."	1999	01	01	"TYPUS of Diplusodon puberulus Koehne"	4563		"Gardner, G."	1842		00			"AMERIQUE DU SUD"	Brazil	"Minas Gerais"			-45.44222222	-18.78777778															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206036&base=img&lang=en"	G00227348
"2014-09-23 10:58:31-03"	G	G	G00227349	"Diplusodon puberulus"	S	Plantae				Lythraceae	Diplusodon	puberulus		Koehne	"Cavalcanti, T. B."				"TYPUS of Diplusodon puberulus Koehne"	4563		"Gardner, G."	1842		00			"AMERIQUE DU SUD"	Brazil	"Minas Gerais"			-45.44222222	-18.78777778															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206037&base=img&lang=en"	G00227349
"2014-09-23 10:58:31-03"	G	G	G00227350	"Diplusodon puberulus"	S	Plantae				Lythraceae	Diplusodon	puberulus		Koehne	?				"TYPUS of Diplusodon puberulus Koehne"	1860		"Weddell, H. A."	1858		00			"AMERIQUE DU SUD"	Brazil	"Minas Gerais"			-45.44222222	-18.78777778															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206038&base=img&lang=en"	G00227350
"2014-09-23 10:58:31-03"	G	G	G00227354	"Diplusodon puberulus"	S	Plantae				Lythraceae	Diplusodon	puberulus		Koehne	?				"TYPUS of Diplusodon puberulus Koehne"	4135		"Gardner, G."	1842		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206044&base=img&lang=en"	G00227354
"2014-09-23 10:58:31-03"	G	G	G00227355	"Diplusodon puberulus"	S	Plantae				Lythraceae	Diplusodon	puberulus		Koehne	?				"TYPUS of Diplusodon puberulus Koehne"	4135		"Gardner, G."	1842		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206045&base=img&lang=en"	G00227355
"2014-09-23 10:58:31-03"	G	G	G00227356	"Diplusodon puberulus"	S	Plantae				Lythraceae	Diplusodon	puberulus		Koehne	?				"TYPUS of Diplusodon puberulus Koehne"	4135		"Gardner, G."	1842		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206046&base=img&lang=en"	G00227356
