"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude"
1472,"Universidade de São Paulo","ESA","60067","Lychnophoriopsis heterotheca",NA,"M. Dematteis",-17.730028,-44.173611
1495,"Universidade de São Paulo","ESA","43537","Eremanthus rondoniensis",NA,"B. Loueille",-14.2,-56.27
1496,"Universidade de São Paulo","ESA","43540","Eremanthus mattogrossensis",NA,"B. Loueille",-12.49,-56.26
1497,"Universidade de São Paulo","ESA","43542","Eremanthus mattogrossensis",NA,"B. Loueille",-14.32,-56.11
1498,"Universidade de São Paulo","ESA","43538","Eremanthus mattogrossensis",NA,"B. Loueille",-12.36,-56.18
1499,"Universidade de São Paulo","ESA","43546","Eremanthus mattogrossensis",NA,"B. Loueille",-14.34,-56.16
1501,"Universidade de São Paulo","ESA","43539","Eremanthus mattogrossensis",NA,"B. Loueille",-14.17,-56.3
1502,"Universidade de São Paulo","ESA","43541","Eremanthus rondoniensis",NA,"B. Loueille",-14.2,-56.27
1505,"Universidade de São Paulo","ESA","41729","Eremanthus mattogrossensis",NA,"B. Loueille",-14.32,-56.18
1514,"Universidade de São Paulo","ESA","41727","Eremanthus rondoniensis",NA,"B. Loueille",-14.3,-56.15
1534,"Universidade de São Paulo","ESA","34307","Proteopsis argentea",NA,"J. N. Nakajima",-19.220278,-43.499444
1536,"Universidade de São Paulo","ESA","33373","Proteopsis argentea",NA,"F. S. Freitas",-19.220278,-43.499444
1656,"Universidade de São Paulo","ESA","120602","Eremanthus polycephalus",NA,"B. Loueille",-19.30081,-43.60081
1661,"Universidade de São Paulo","ESA","120873","Piptolepis ericoides",NA,"B. Loueille",-18.116,-43.345
1663,"Universidade de São Paulo","ESA","120606","Lychnophora salicifolia",NA,"B. Loueille",-19.30085,-43.60085
1666,"Universidade de São Paulo","ESA","120717","Proteopsis argentea",NA,"B. Loueille",-19.2236,-43.49884
1667,"Universidade de São Paulo","ESA","120770","Minasia scapigera",NA,"B. Loueille",-18.57294,-43.487552
1668,"Universidade de São Paulo","ESA","120700","Proteopsis argentea",NA,"B. Loueille",-19.2236,-43.49884
1669,"Universidade de São Paulo","ESA","120903","Hololepis pedunculata",NA,"B. Loueille",-20.2343,-46.49858
1670,"Universidade de São Paulo","ESA","120605","Lychnophora passerina",NA,"B. Loueille",-19.30084,-43.60084
1672,"Universidade de São Paulo","ESA","120609","Eremanthus glomerulatus",NA,"B. Loueille",-19.3009,-43.6009
1806,"Instituto de Botânica","SP","499181","Elephantopus biflorus",NA,"R. S. Bianchini",-15.798889,-47.811667
1813,"Instituto de Botânica","SP","490136","Chresta martii",NA,"C. M. Siniscalchi",-9.506944,-40.800556
