taxa,suggested,corrected,srcs
Lychnophora markgravii,Lychnophora markgravii,Lychnophora markgravii,The Plant List
Lychnophora martiana,Lychnophora martiana,Lychnophora martiana,Flora do Brasil
Lychnophora mello-barretoi,Lychnophora mello-barretoi,Lychnophora mellobarretoi,Flora do Brasil
Lychnophora mellosilvae,NA,NA,
Lychnophora montesclarensis,NA,NA,
Lychnophora morii,Lychnophora morii,Lychnophorella morii,Flora do Brasil
Lychnophora mutica,Lychnophora martiana,NA,
Lychnophora nanuzae,Lychnophora nanuzae,Lychnophora nanuzae,Flora do Brasil
Lychnophora passerina,Lychnophora passerina,Lychnophora passerina,The Plant List
Lychnophora phylicaefolia,Lychnophora phylicifolia,Lychnophora phylicifolia,The Plant List
Lychnophora phylicifolia,Lychnophora phylicifolia,Lychnophora phylicifolia,The Plant List
Lychnophora pinaster,Lychnophora pinaster,Lychnophora ericoides,The Plant List
Lychnophora platyneura,Lychnophora platyneura,Lychnophora ericoides,The Plant List
Lychnophora pohlii,Lychnophora pohlii,Lychnophora pohlii,The Plant List
Lychnophora prostrata,Lychnophora passerina,Unresolved,The Plant List
Lychnophora pseudovillosissima,Lychnophora villosissima,Lychnophora pseudovillosissima,The Plant List
Lychnophora ramosissima,Lychnophora ramosissima,Lychnophora ramosissima,The Plant List
Lychnophora regis,Lychnophora regis,Lychnophora regis,The Plant List
Lychnophora reticulata,Lychnophora reticulata,Lychnophora reticulata,The Plant List
Lychnophora riedelii,Lychnophora riedelli,Lychnophora riedelli,The Plant List
Lychnophora rosmarinifolia,Lychnophora rosmarinifolia,Lychnophora rosmarinifolia,The Plant List
Lychnophora rupestris,Lychnophora rupestris,Lychnophora rupestris,Flora do Brasil
Lychnophora salicifolia,Lychnophora salicifolia,Lychnophora salicifolia,The Plant List
Lychnophora santosii,Lychnophora santosii,Lychnophorella santosii,Flora do Brasil
Lychnophora sartorii,Lychnophora santosii,Lychnophorella santosii,Flora do Brasil
Lychnophora sellowii,Lychnophora sellowii,Lychnophora sellowii,The Plant List
Lychnophora sericea,Lychnophora sericea,Lychnophorella sericea,Flora do Brasil
Lychnophora souzae,Lychnophora souzae,Lychnophora souzae,The Plant List
Lychnophora spiciformis,Lychnophora salicifolia,Lychnophora spiciformis,Flora do Brasil
Lychnophora staavioides,Lychnophora staavioides,Lychnophora staavioides,The Plant List
Lychnophora syncephala,Lychnophora syncephala,Lychnophora reticulata,The Plant List
Lychnophora tomentosa,Lychnophora tomentosa,Lychnophora tomentosa,The Plant List
Lychnophora tomentosus,Lychnophora tomentosa,Lychnophora tomentosa,The Plant List
Lychnophora trichocarpha,Lychnophora trichocarpha,Lychnophora trichocarpha,The Plant List
Lychnophora triflora,Lychnophora triflora,Lychnophora triflora,The Plant List
Lychnophora undesignated,NA,NA,
Lychnophora uniflora,Lychnophora uniflora,Lychnophora uniflora,The Plant List
Lychnophora villosissima,Lychnophora villosissima,Lychnophora villosissima,The Plant List
Lychnophorella bishopii,Lychnophora bishopii,Lychnophorella bishopii,Flora do Brasil
Lychnophorella granmogolensis,Lychnophora granmogolensis,Lychnophora granmogolensis,Flora do Brasil
Lychnophorella jacobinensis,NA,Lychnophorella jacobinensis,Flora do Brasil
Lychnophorella leucodendron,NA,Lychnophorella leucodendron,Flora do Brasil
Lychnophorella morii,Lychnophora morii,Lychnophorella morii,Flora do Brasil
Lychnophorella regis,Lychnophora regis,Lychnophorella regis,Flora do Brasil
Lychnophorella santosii,Lychnophora santosii,Lychnophorella santosii,Flora do Brasil
Lychnophorella sericea,Lychnophora sericea,Lychnophorella sericea,Flora do Brasil
Lychnophorella triflora,Lychnophora triflora,Lychnophorella triflora,Flora do Brasil
Lychnophoriopsis candelabrum,Lychnophoriopsis candelabrum,Lychnophoriopsis candelabrum,The Plant List
Lychnophoriopsis damazioi,Lychnophoriopsis damazioi,Lychnophoriopsis damazioi,The Plant List
Lychnophoriopsis damazoi,Lychnophoriopsis damazioi,Lychnophoriopsis damazioi,The Plant List
Lychnophoriopsis hatschbachii,Lychnophoriopsis hatschbachii,Lychnophoriopsis hatschbachii,The Plant List
Lychnophoriopsis heterotheca,Lychnophoriopsis heterotheca,Lychnophoriopsis heterotheca,The Plant List
Maschalostachys markgrafii,Maschalostachys markgrafii,Maschalostachys markgrafii,Flora do Brasil
Maschalostachys mellosilvae,NA,Maschalostachys mellosilvae,Flora do Brasil
Minasia alpestris,Minasia alpestris,Minasia alpestris,The Plant List
Minasia cabralensis,Minasia cabralensis,Minasia cabralensis,The Plant List
Minasia cipoensis,Mikania cipoensis,Mikania cipoensis,Flora do Brasil
Minasia itacambiresis,NA,NA,
Minasia lewinsohnii,Minasia lewinsohnii,Minasia lewinsohnii,The Plant List
