country,major area,minor area,centroid (lat),centroid (long),distance (km)
Argentina,Buenos Aires,Pinamar,-37.10839326,-56.86970289,11.8398445296
Argentina,Buenos Aires,Puán,-38.07810866,-63.05933614,89.4916246067
Argentina,Buenos Aires,Quilmes,-34.73740619,-58.27575436,7.6709671351
Argentina,Buenos Aires,Ramallo,-33.5881976,-60.058308,28.6933294236
Argentina,Buenos Aires,Rauch,-36.57644197,-58.94801609,47.1792884362
Argentina,Buenos Aires,Rivadavia,-35.58490765,-63.09458182,42.9304040174
Argentina,Buenos Aires,Rojas,-34.19428257,-60.78827435,33.252261147
Argentina,Buenos Aires,Roque Pérez,-35.48679168,-59.35986501,43.148772838
Argentina,Buenos Aires,Saavedra,-37.7691182,-62.43576636,40.9448458143
Argentina,Buenos Aires,Saladillo,-35.68085058,-59.70769591,48.0403593662
Argentina,Buenos Aires,Salliqueló,-36.67392909,-63.04590548,22.0898710831
Argentina,Buenos Aires,Salto,-34.27182344,-60.30747418,30.6123397842
Argentina,Buenos Aires,San Andrés de Giles,-34.44162414,-59.477294,28.1549795032
Argentina,Buenos Aires,San Antonio de Areco,-34.22351494,-59.5226526,30.6662448813
Argentina,Buenos Aires,San Cayetano,-38.39042012,-59.58619606,44.615132521
Argentina,Buenos Aires,San Fernando (1),-34.15012812,-58.54301467,29.2123431215
Argentina,Buenos Aires,San Fernando (2),-34.46107429,-58.56727592,4.4321857535
Argentina,Buenos Aires,San Isidro,-34.49116726,-58.53596304,5.9470358244
Argentina,Buenos Aires,San Nicolás,-33.48074289,-60.29321511,24.8577383507
Argentina,Buenos Aires,San Pedro,-33.78298881,-59.78109055,30.5154175479
Argentina,Buenos Aires,San Vicente,-35.06135305,-58.4314611,20.7897329633
Argentina,Buenos Aires,Suipacha,-34.75378052,-59.70753348,25.5362861113
Argentina,Buenos Aires,Tandil,-37.33932696,-59.18388747,53.7515238066
Argentina,Buenos Aires,Tapalqué,-36.34672806,-60.13048906,71.3812929818
Argentina,Buenos Aires,Tigre,-34.38663143,-58.59982741,16.4090783214
Argentina,Buenos Aires,Tordillo,-36.39323387,-57.28046215,31.1997996826
Argentina,Buenos Aires,Tornquist,-38.2521042,-62.28767134,57.8293504491
Argentina,Buenos Aires,Trenque Lauquen,-36.05949196,-62.63296223,50.7798175298
Argentina,Buenos Aires,Tres Arroyos,-38.51169681,-60.23853032,60.7124958284
Argentina,Buenos Aires,Tres de Febrero,-34.60087818,-58.57920594,7.9812079662
Argentina,Buenos Aires,Tres Lomas,-36.4957372,-62.86465875,24.1246910501
Argentina,Buenos Aires,Veinticinco de Mayo,-35.52787079,-60.23300291,71.2429824135
Argentina,Buenos Aires,Vicente López,-34.53113703,-58.50308223,4.7144835004
Argentina,Buenos Aires,Villa Gesell,-37.38322097,-57.07451772,25.1094416199
Argentina,Buenos Aires,Villarino,-39.12606454,-62.70917227,95.4857805545
Argentina,Buenos Aires,Zárate,-33.99733144,-59.12715996,27.838070002
Argentina,Córdoba,Calamuchita,-32.20686495,-64.61478596,53.1118399516
Argentina,Córdoba,Capital,-31.42136115,-64.18851848,17.120114094
Argentina,Córdoba,Colón,-31.14791072,-64.1580911,39.4567922254
Argentina,Córdoba,Cruz del Eje,-30.66676138,-65.08971188,89.2398871225
Argentina,Córdoba,General Roca,-34.61220014,-64.38019216,99.8696474742
Argentina,Córdoba,General San Martín,-32.51715471,-63.25982315,69.2014530268
Argentina,Córdoba,Ischilín,-30.40308895,-64.6144579,63.8440629408
Argentina,Córdoba,Juárez Celman,-33.32232942,-63.61012404,74.312522565
Argentina,Córdoba,Marcos Juárez,-33.02775165,-62.28152754,107.4019663501
Argentina,Córdoba,Minas,-31.03460001,-65.41686626,53.8888860557
Argentina,Córdoba,Pocho,-31.4640142,-65.43097893,52.9740764303
Argentina,Córdoba,Presidente Roque Sáenz Peña,-34.13399629,-63.42377517,84.9085187818
Argentina,Córdoba,Punilla,-31.22828094,-64.60261033,60.1902221941
Argentina,Córdoba,Rió Cuarto,-33.32002771,-64.49297904,120.8161071494
Argentina,Córdoba,Rió Primero,-31.02991236,-63.44318389,76.942175595
Argentina,Córdoba,Rió Seco,-30.00447642,-63.25482914,79.0202462734
Argentina,Córdoba,Rió Segundo,-31.73885311,-63.49178726,70.2354989924
Argentina,Córdoba,San Alberto,-31.71873111,-65.16470969,60.8659875132
Argentina,Córdoba,San Javier,-32.07746558,-65.14595259,48.6004516628
Argentina,Córdoba,San Justo,-31.24085441,-62.53754891,106.9286551473
Argentina,Córdoba,Santa María,-31.7125792,-64.31300611,60.3395080537
Argentina,Córdoba,Sobremonte,-29.76217492,-64.13060007,42.5275644079
Argentina,Córdoba,Tercero Arriba,-32.28723917,-63.78003869,73.5213668561
Argentina,Córdoba,Totoral,-30.72666666,-63.97343373,49.1072922449
Argentina,Córdoba,Tulumba,-30.21389335,-63.78375655,140.8583369866
Argentina,Córdoba,Unión,-32.88265265,-62.80359104,110.2387192725
Argentina,Catamarca,Ambato,-28.00903318,-65.92000875,43.8721952988
Argentina,Catamarca,Ancasti,-28.9391833,-65.48995555,67.6224325584
Argentina,Catamarca,Andalgalá,-27.57709818,-66.34353078,58.6918346738
Argentina,Catamarca,Antofagasta de la Sierra,-25.96496775,-67.67998787,136.2626526338
Argentina,Catamarca,Belén,-27.09900455,-66.90563408,134.6846798984
Argentina,Catamarca,Capayán,-28.93465902,-65.89160547,139.9298379353
Argentina,Catamarca,Capital,-28.39623444,-65.83105887,22.7455357392
Argentina,Catamarca,El Alto,-28.43086388,-65.37787235,37.2866210048
Argentina,Catamarca,Fray Mamerto Esquiú,-28.29615865,-65.73013072,16.2963036073
Argentina,Catamarca,La Paz,-29.41666418,-65.18058215,90.744836794
Argentina,Catamarca,Paclín,-28.1076341,-65.65885436,37.7887235043
Argentina,Catamarca,Pomán,-28.21724355,-66.39022745,64.0736652723
Argentina,Catamarca,Santa María,-26.77772054,-66.27452847,72.2608860914
Argentina,Catamarca,Santa Rosa,-28.07695219,-65.31556828,35.2076139211
Argentina,Catamarca,Tinogasta,-27.54481123,-67.93833756,124.5399679434
Argentina,Catamarca,Valle Viejo,-28.59079526,-65.70753227,24.2616707197
Argentina,Chaco,Almirante Brown,-25.74604317,-61.98663368,144.7589758042
Argentina,Chaco,Bermejo,-26.95523824,-58.70546533,47.8636640758
Argentina,Chaco,Chacabuco,-27.10931687,-61.31976122,55.6621382686
Argentina,Chaco,Comandante Fernández,-26.78766611,-60.47083335,28.9868383828
Argentina,Chaco,Doce de Octubre,-27.37760177,-61.43294093,57.7457786182
Argentina,Chaco,Fray Justo Santa María de Oro,-27.82312319,-61.33193056,44.3466772518
Argentina,Chaco,General Belgrano,-26.83336833,-61.07929286,40.4647463732
Argentina,Chaco,General Donovan,-27.12847591,-59.35502341,35.011892211
Argentina,Chaco,General Güemes,-25.22453389,-61.3479397,158.8605457436
Argentina,Chaco,Independencia,-26.73013027,-60.76375335,37.1993585293
Argentina,Chaco,Libertad,-27.34997149,-59.27302938,33.7048187205
Argentina,Chaco,Libertador General San Martín,-26.36788595,-59.50197023,100.1694571368
Argentina,Chaco,Maipú,-26.32530854,-60.45980938,40.7029007964
Argentina,Chaco,Mayor Luis J. Fontana,-27.73987875,-60.66884012,52.214435362
Argentina,Chaco,Nueve de Julio,-26.93575698,-61.27553129,64.4129282403
Argentina,Chaco,O'Higgins,-27.2456946,-60.69573811,32.302992771
Argentina,Chaco,Presidencia de la Plaza,-27.03481914,-59.79188961,38.5134872695
Argentina,Chaco,Primero de Mayo,-27.16240132,-58.96672062,40.701038536
Argentina,Chaco,Quitilipi,-26.66801378,-60.18432231,48.0425350366
Argentina,Chaco,San Fernando,-27.7106469,-59.12423902,42.7811279308
Argentina,Chaco,San Lorenzo,-27.38906529,-60.37632117,44.9380084062
Argentina,Chaco,Sargento Cabral,-26.78623279,-59.538761,43.9340339358
Argentina,Chaco,Tapenagá,-27.65550439,-59.83705387,56.606412436
Argentina,Chaco,Veinticinco de Mayo,-26.81406043,-60.03428101,58.8150244342
Argentina,Chubut,Biedma,-42.44388193,-64.93139564,112.021025838
Argentina,Chubut,Cushamen,-42.36832442,-70.69958575,117.3534988308
Argentina,Chubut,Escalante,-45.28369338,-67.70861118,110.0722280805
Argentina,Chubut,Florentino Ameghino,-44.42406285,-66.12900916,102.117761692
Argentina,Chubut,Futaleufú,-43.06943409,-71.46564082,75.1283537669
Argentina,Chubut,Gaiman,-43.2725644,-66.17212717,90.942059152
Argentina,Chubut,Gastre,-42.75205897,-68.80183421,106.3940402081
Argentina,Chubut,Languiñeo,-43.3235319,-70.34847644,126.9101563864
Argentina,Chubut,Mártires,-43.81386852,-67.24005889,112.1913995043
Argentina,Chubut,Paso de Indios,-44.0301573,-68.68589809,121.6407901596
Argentina,Chubut,Rawson,-43.1374335,-65.07475556,65.0408989049
Argentina,Chubut,Rió Senguer,-45.33862148,-70.63122984,129.5764578884
Argentina,Chubut,Sarmiento,-45.34829415,-69.00286117,88.5916392665
Argentina,Chubut,Tehuelches,-44.20043862,-70.57911864,101.9631308228
Argentina,Chubut,Telsen,-42.43986198,-67.17726038,111.352114304
Argentina,Ciudad de Buenos Aires,Distrito Federal,-34.61767799,-58.44443585,10.0621005848
Argentina,Corrientes,Bella Vista,-28.49548806,-58.93193792,38.0520309857
