taxa,suggested,corrected,obs
Mimosa debilis,Mimosa debilis,Mimosa debilis,
Mimosa debilis var. amnis-mortium,Mimosa debilis var. amnis-mortium,Mimosa debilis var. amnis-mortium,
Mimosa debilis vestita,Mimosa debilis var. vestita,Mimosa debilis var. vestita,
Mimosa deceptrix,Mimosa deceptrix,Mimosa deceptrix,
Mimosa decorticans,Mimosa decorticans,Mimosa decorticans,
Mimosa demissa,Mimosa demissa,Mimosa demissa,
Mimosa densa alligantina,Mimosa densa var. alligantina,Mimosa densa var. alligantina,
Mimosa densa densa,Mimosa densa var. densa,Mimosa densa var. densa,
Mimosa densa,Mimosa densa,Mimosa densa,
Mimosa densa var. alligantina,Mimosa densa var. alligantina,Mimosa densa var. alligantina,
Mimosa desmodioides,Mimosa desmodioides,Mimosa desmodioides,
Mimosa dicerastes,Mimosa dicerastes,Mimosa dicerastes,
Mimosa dichroa,Mimosa dichroa,Mimosa dichroa,
Mimosa diffusa,Mimosa diffusa,Mimosa diffusa,
Mimosa digitata,Mimosa digitata,Mimosa digitata,
Mimosa diminuta,Mimosa diminuta,Mimosa diminuta,
Mimosa diplotricha diplotricha,Mimosa diplotricha var. diplotricha,Mimosa diplotricha var. diplotricha,
Mimosa diplotricha,Mimosa diplotricha,Mimosa diplotricha,
Mimosa diptera,Mimosa diptera,Mimosa diptera,
Mimosa discobola,Mimosa discobola,Mimosa discobola,
Mimosa discoloba,Mimosa discobola,Mimosa discobola,
Mimosa discolor,Miconia discolor,Miconia discolor,
Mimosa distans distans,Mimosa distans var. distans,Mimosa distans var. distans,
Mimosa distans elongata,Mimosa distans var. elongata,Mimosa distans var. elongata,
Mimosa distans,Mimosa distans,Mimosa distans,
Mimosa distans neuroloma,Mimosa distans var. neuroloma,Mimosa distans var. neuroloma,
Mimosa distans planaltinae,Mimosa distans var. planaltinae,Mimosa distans var. planaltinae,
Mimosa distans terezinae,Mimosa distans var. terezinae,Mimosa distans var. terezinae,
Mimosa distans var. planaltinae,Mimosa distans var. planaltinae,Mimosa distans var. planaltinae,
Mimosa distans var. terezinae,Mimosa distans var. terezinae,Mimosa distans var. terezinae,
Mimosa diversipila diversipila,Mimosa diversipila var. diversipila,Mimosa diversipila var. diversipila,
Mimosa dolens acerba,Mimosa dolens var. acerba,Mimosa dolens var. acerba,
Mimosa dolens anisitsii,Mimosa dolens var. anisitsii,Mimosa dolens var. anisitsii,
Mimosa dolens callosa,Mimosa dolens subsp. callosa,Mimosa dolens subsp. callosa,
Mimosa dolens dolens,Mimosa dolens var. dolens,Mimosa dolens var. dolens,
